# plotfile = plt05012
# time = 18.00161873 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0023341e+04 2.5667812e+06 2.4105138e-03 8.9704245e+05
-8.9062500e+08 -9.0000000e+08 2.0022380e+04 2.6055063e+06 1.7407588e-02 9.3616032e+05
-8.8125000e+08 -9.0000000e+08 2.0020641e+04 2.6455216e+06 1.5595807e-02 9.8612057e+05
-8.7187500e+08 -9.0000000e+08 2.0019168e+04 2.6864908e+06 1.6387126e-02 1.0328597e+06
-8.6250000e+08 -9.0000000e+08 2.0018570e+04 2.7272354e+06 1.8677555e-02 1.0778283e+06
-8.5312500e+08 -9.0000000e+08 2.0018563e+04 2.7664218e+06 2.1117634e-02 1.1216910e+06
-8.4375000e+08 -9.0000000e+08 2.0018613e+04 2.8059925e+06 2.2887024e-02 1.1693288e+06
-8.3437500e+08 -9.0000000e+08 2.0018869e+04 2.8477191e+06 2.5140880e-02 1.2212106e+06
-8.2500000e+08 -9.0000000e+08 2.0019301e+04 2.8908872e+06 3.1802136e-02 1.2753961e+06
-8.1562500e+08 -9.0000000e+08 2.0019813e+04 2.9309344e+06 3.7330740e-02 1.3247415e+06
-8.0625000e+08 -9.0000000e+08 2.0020351e+04 2.9691904e+06 3.6918497e-02 1.3756957e+06
-7.9687500e+08 -9.0000000e+08 2.0020892e+04 3.0108308e+06 3.9298017e-02 1.4341160e+06
-7.8750000e+08 -9.0000000e+08 2.0021436e+04 3.0557059e+06 4.8200398e-02 1.4978573e+06
-7.7812500e+08 -9.0000000e+08 2.0021987e+04 3.0969192e+06 3.4266383e-02 1.5540222e+06
-7.6875000e+08 -9.0000000e+08 2.0022551e+04 3.1339096e+06 3.9875065e-02 1.6085420e+06
