# plotfile = plt05805
# time = 21.00139864 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0026972e+04 -1.2301491e-01 -1.2301681e-01 -1.7448784e+06
-8.9062500e+08 -9.0000000e+08 2.0025967e+04 -1.1854996e-01 -2.7948846e-01 -1.7491575e+06
-8.8125000e+08 -9.0000000e+08 2.0024104e+04 -1.1538752e-01 -5.5183228e-01 -1.7719455e+06
-8.7187500e+08 -9.0000000e+08 2.0022470e+04 -1.1678630e-01 -8.4386823e-01 -1.8005799e+06
-8.6250000e+08 -9.0000000e+08 2.0021729e+04 -1.1496286e-01 -1.1397489e+00 -1.8287580e+06
-8.5312500e+08 -9.0000000e+08 2.0021664e+04 -1.1140640e-01 -1.4462963e+00 -1.8579422e+06
-8.4375000e+08 -9.0000000e+08 2.0021676e+04 -1.0836633e-01 -1.7606076e+00 -1.8861364e+06
-8.3437500e+08 -9.0000000e+08 2.0021892e+04 -1.0509293e-01 -2.0908329e+00 -1.9168342e+06
-8.2500000e+08 -9.0000000e+08 2.0022347e+04 -1.0199354e-01 -2.4264443e+00 -1.9456311e+06
-8.1562500e+08 -9.0000000e+08 2.0022922e+04 -9.8774181e-02 -2.7805442e+00 -1.9774863e+06
-8.0625000e+08 -9.0000000e+08 2.0023541e+04 -9.6647839e-02 -3.1407808e+00 -2.0073611e+06
-7.9687500e+08 -9.0000000e+08 2.0024168e+04 -9.5188957e-02 -3.5262481e+00 -2.0402342e+06
-7.8750000e+08 -9.0000000e+08 2.0024796e+04 -9.1264991e-02 -3.9092124e+00 -2.0711624e+06
-7.7812500e+08 -9.0000000e+08 2.0025430e+04 -8.5877624e-02 -4.3135810e+00 -2.1048433e+06
-7.6875000e+08 -9.0000000e+08 2.0026077e+04 -8.1850148e-02 -4.7272417e+00 -2.1368076e+06
-7.5937500e+08 -9.0000000e+08 2.0026743e+04 -7.8082933e-02 -5.1626307e+00 -2.1708833e+06
-7.5000000e+08 -9.0000000e+08 2.0027430e+04 -7.3413602e-02 -5.6122267e+00 -2.2047233e+06
-7.4062500e+08 -9.0000000e+08 2.0028140e+04 -6.9904440e-02 -6.0757602e+00 -2.2389571e+06
-7.3125000e+08 -9.0000000e+08 2.0028872e+04 -6.7229743e-02 -6.5577684e+00 -2.2750177e+06
-7.2187500e+08 -9.0000000e+08 2.0029628e+04 -6.3495128e-02 -7.0540933e+00 -2.3092810e+06
-7.1250000e+08 -9.0000000e+08 2.0030405e+04 -5.9977017e-02 -7.5734676e+00 -2.3464354e+06
-7.0312500e+08 -9.0000000e+08 2.0031205e+04 -5.7295774e-02 -8.1026805e+00 -2.3819041e+06
-6.9375000e+08 -9.0000000e+08 2.0032029e+04 -5.2908305e-02 -8.6580466e+00 -2.4180890e+06
-6.8437500e+08 -9.0000000e+08 2.0032875e+04 -5.0642937e-02 -9.2340848e+00 -2.4570469e+06
-6.7500000e+08 -9.0000000e+08 2.0033746e+04 -4.8358371e-02 -9.8248112e+00 -2.4932067e+06
-6.6562500e+08 -9.0000000e+08 2.0034641e+04 -4.5131452e-02 -1.0438153e+01 -2.5319033e+06
-6.5625000e+08 -9.0000000e+08 2.0035560e+04 -4.3620129e-02 -1.1077419e+01 -2.5716836e+06
-6.4687500e+08 -9.0000000e+08 2.0036504e+04 -4.1456293e-02 -1.1726640e+01 -2.6089327e+06
-6.3750000e+08 -9.0000000e+08 2.0037473e+04 -3.9444719e-02 -1.2406334e+01 -2.6487593e+06
-6.2812500e+08 -9.0000000e+08 2.0038467e+04 -3.8394866e-02 -1.3115345e+01 -2.6907501e+06
-6.1875000e+08 -9.0000000e+08 2.0039486e+04 -3.5233139e-02 -1.3840671e+01 -2.7299454e+06
-6.0937500e+08 -9.0000000e+08 2.0040531e+04 -3.2530097e-02 -1.4583497e+01 -2.7697000e+06
-6.0000000e+08 -9.0000000e+08 2.0041602e+04 -3.4825483e-02 -1.5357064e+01 -2.8122903e+06
-5.9062500e+08 -9.0000000e+08 2.0042699e+04 -3.4476474e-02 -1.6160770e+01 -2.8541857e+06
-5.8125000e+08 -9.0000000e+08 2.0043821e+04 -3.1132334e-02 -1.6977511e+01 -2.8948540e+06
-5.7187500e+08 -9.0000000e+08 2.0044969e+04 -2.9469586e-02 -1.7830274e+01 -2.9367052e+06
-5.6250000e+08 -9.0000000e+08 2.0046143e+04 -2.6751630e-02 -1.8717550e+01 -2.9807128e+06
-5.5312500e+08 -9.0000000e+08 2.0047342e+04 -2.1933015e-02 -1.9635169e+01 -3.0250636e+06
-5.4375000e+08 -9.0000000e+08 2.0048568e+04 -2.2236470e-02 -2.0556760e+01 -3.0678585e+06
-5.3437500e+08 -9.0000000e+08 2.0049818e+04 -2.5859391e-02 -2.1512572e+01 -3.1104442e+06
-5.2500000e+08 -9.0000000e+08 2.0051094e+04 -2.4336688e-02 -2.2499476e+01 -3.1541156e+06
-5.1562500e+08 -9.0000000e+08 2.0052394e+04 -2.3222783e-02 -2.3509683e+01 -3.1989309e+06
-5.0625000e+08 -9.0000000e+08 2.0053718e+04 -2.1388218e-02 -2.4557083e+01 -3.2444622e+06
