# plotfile = plt05012
# time = 18.00161873 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0023341e+04 -1.0046197e-01 -1.0046386e-01 -1.7462255e+06
-8.9062500e+08 -9.0000000e+08 2.0022381e+04 -9.5555907e-02 -2.3164283e-01 -1.7522238e+06
-8.8125000e+08 -9.0000000e+08 2.0020642e+04 -9.3232713e-02 -4.5991035e-01 -1.7776807e+06
-8.7187500e+08 -9.0000000e+08 2.0019169e+04 -9.5508174e-02 -6.9831836e-01 -1.8062682e+06
-8.6250000e+08 -9.0000000e+08 2.0018571e+04 -9.3486487e-02 -9.3970620e-01 -1.8345002e+06
-8.5312500e+08 -9.0000000e+08 2.0018564e+04 -9.0424712e-02 -1.1904581e+00 -1.8638357e+06
-8.4375000e+08 -9.0000000e+08 2.0018615e+04 -8.7769464e-02 -1.4474316e+00 -1.8920753e+06
-8.3437500e+08 -9.0000000e+08 2.0018870e+04 -8.4910703e-02 -1.7174733e+00 -1.9230758e+06
-8.2500000e+08 -9.0000000e+08 2.0019303e+04 -8.2166322e-02 -1.9916046e+00 -1.9517759e+06
-8.1562500e+08 -9.0000000e+08 2.0019816e+04 -7.9268064e-02 -2.2814275e+00 -1.9840361e+06
-8.0625000e+08 -9.0000000e+08 2.0020354e+04 -7.7376087e-02 -2.5754501e+00 -2.0137638e+06
-7.9687500e+08 -9.0000000e+08 2.0020896e+04 -7.5865903e-02 -2.8912315e+00 -2.0470457e+06
-7.8750000e+08 -9.0000000e+08 2.0021440e+04 -7.2473064e-02 -3.2027902e+00 -2.0778165e+06
-7.7812500e+08 -9.0000000e+08 2.0021992e+04 -6.8084874e-02 -3.5342858e+00 -2.1118884e+06
-7.6875000e+08 -9.0000000e+08 2.0022557e+04 -6.4610707e-02 -3.8718033e+00 -2.1436990e+06
-7.5937500e+08 -9.0000000e+08 2.0023139e+04 -6.1356859e-02 -4.2281892e+00 -2.1781500e+06
-7.5000000e+08 -9.0000000e+08 2.0023741e+04 -5.7275157e-02 -4.5955698e+00 -2.2119542e+06
-7.4062500e+08 -9.0000000e+08 2.0024363e+04 -5.4159470e-02 -4.9740365e+00 -2.2463953e+06
-7.3125000e+08 -9.0000000e+08 2.0025004e+04 -5.1880317e-02 -5.3675719e+00 -2.2826352e+06
-7.2187500e+08 -9.0000000e+08 2.0025664e+04 -4.8439206e-02 -5.7730734e+00 -2.3168007e+06
-7.1250000e+08 -9.0000000e+08 2.0026344e+04 -4.5255429e-02 -6.1973977e+00 -2.3543592e+06
-7.0312500e+08 -9.0000000e+08 2.0027043e+04 -4.2724903e-02 -6.6284759e+00 -2.3895902e+06
-6.9375000e+08 -9.0000000e+08 2.0027763e+04 -3.8639243e-02 -7.0832541e+00 -2.4261246e+06
-6.8437500e+08 -9.0000000e+08 2.0028502e+04 -3.6708527e-02 -7.5525462e+00 -2.4653059e+06
