# plotfile = plt01550
# time = 5.370637752 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0008157e+04 -2.7624313e-02 -2.7624404e-02 -1.7521969e+06
-8.9062500e+08 -9.0000000e+08 2.0007503e+04 -2.7454853e-02 -8.0151692e-02 -1.7691848e+06
-8.8125000e+08 -9.0000000e+08 2.0006561e+04 -2.7029351e-02 -1.4080410e-01 -1.8020010e+06
-8.7187500e+08 -9.0000000e+08 2.0006117e+04 -2.6445380e-02 -2.0181919e-01 -1.8284666e+06
-8.6250000e+08 -9.0000000e+08 2.0006107e+04 -2.5792193e-02 -2.6528587e-01 -1.8581109e+06
-8.5312500e+08 -9.0000000e+08 2.0006135e+04 -2.5214145e-02 -3.3062189e-01 -1.8876324e+06
-8.4375000e+08 -9.0000000e+08 2.0006270e+04 -2.4582700e-02 -3.9823862e-01 -1.9162802e+06
-8.3437500e+08 -9.0000000e+08 2.0006457e+04 -2.3922972e-02 -4.6857142e-01 -1.9484749e+06
-8.2500000e+08 -9.0000000e+08 2.0006651e+04 -2.3284570e-02 -5.4052258e-01 -1.9766246e+06
-8.1562500e+08 -9.0000000e+08 2.0006840e+04 -2.2609772e-02 -6.1641140e-01 -2.0109014e+06
-8.0625000e+08 -9.0000000e+08 2.0007028e+04 -2.2071459e-02 -6.9300654e-01 -2.0395248e+06
-7.9687500e+08 -9.0000000e+08 2.0007221e+04 -2.1457380e-02 -7.7528247e-01 -2.0750612e+06
-7.8750000e+08 -9.0000000e+08 2.0007422e+04 -2.0995170e-02 -8.5655723e-01 -2.1045783e+06
-7.7812500e+08 -9.0000000e+08 2.0007630e+04 -2.0396471e-02 -9.4437082e-01 -2.1408822e+06
-7.6875000e+08 -9.0000000e+08 2.0007844e+04 -1.9610002e-02 -1.0323865e+00 -2.1714685e+06
