# plotfile = plt00000
# time = 0 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.7552809e+06
-8.9062500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.7797426e+06
-8.8125000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.8131303e+06
-8.7187500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.8383319e+06
-8.6250000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.8693508e+06
-8.5312500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.8984773e+06
-8.4375000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.9276276e+06
-8.3437500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.9602103e+06
-8.2500000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -1.9881414e+06
-8.1562500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.0234853e+06
-8.0625000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.0513501e+06
-7.9687500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.0882845e+06
-7.8750000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.1168384e+06
-7.7812500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.1546067e+06
-7.6875000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.1842326e+06
-7.5937500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.2223545e+06
-7.5000000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.2546311e+06
-7.4062500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.2914370e+06
-7.3125000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.3279893e+06
-7.2187500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.3617328e+06
-7.1250000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.4023754e+06
-7.0312500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.4349847e+06
-6.9375000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.4756537e+06
-6.8437500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.5143065e+06
-6.7500000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.5490344e+06
-6.6562500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.5928312e+06
-6.5625000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.6299077e+06
-6.4687500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.6677271e+06
-6.3750000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.7120730e+06
-6.2812500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.7522755e+06
-6.1875000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.7899737e+06
-6.0937500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.8336955e+06
-6.0000000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.8769843e+06
-5.9062500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.9170693e+06
-5.8125000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -2.9586775e+06
-5.7187500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.0027792e+06
-5.6250000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.0479333e+06
-5.5312500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.0910409e+06
-5.4375000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.1330192e+06
-5.3437500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.1768397e+06
-5.2500000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.2215230e+06
-5.1562500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.2670631e+06
-5.0625000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.3127038e+06
-4.9687500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.3575790e+06
-4.8750000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.4023574e+06
-4.7812500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.4476052e+06
-4.6875000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.4925905e+06
-4.5937500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.5379579e+06
-4.5000000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.5835656e+06
-4.4062500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.6289087e+06
-4.3125000e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.6741933e+06
-4.2187500e+08 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 -3.7196195e+06
