# plotfile = plt00700
# time = 2.523568424 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0004404e+04 2.5777493e+06 -4.3958120e-04 8.9201129e+05
-8.9062500e+08 -9.0000000e+08 2.0003945e+04 2.6167853e+06 -3.0404669e-03 9.3274720e+05
-8.8125000e+08 -9.0000000e+08 2.0003389e+04 2.6572289e+06 -3.4003823e-03 9.7814601e+05
-8.7187500e+08 -9.0000000e+08 2.0003210e+04 2.6983393e+06 -3.7503923e-03 1.0232005e+06
-8.6250000e+08 -9.0000000e+08 2.0003216e+04 2.7385964e+06 -4.1305338e-03 1.0685824e+06
-8.5312500e+08 -9.0000000e+08 2.0003285e+04 2.7772507e+06 -4.4443069e-03 1.1136115e+06
-8.4375000e+08 -9.0000000e+08 2.0003387e+04 2.8175051e+06 -4.9216296e-03 1.1623744e+06
-8.3437500e+08 -9.0000000e+08 2.0003493e+04 2.8602750e+06 -5.2932635e-03 1.2144904e+06
-8.2500000e+08 -9.0000000e+08 2.0003596e+04 2.9031616e+06 -5.7508312e-03 1.2679918e+06
-8.1562500e+08 -9.0000000e+08 2.0003700e+04 2.9415803e+06 -6.2201623e-03 1.3184570e+06
-8.0625000e+08 -9.0000000e+08 2.0003807e+04 2.9801010e+06 -6.7150167e-03 1.3706482e+06
-7.9687500e+08 -9.0000000e+08 2.0003919e+04 3.0238122e+06 -7.2103580e-03 1.4300245e+06
-7.8750000e+08 -9.0000000e+08 2.0004034e+04 3.0688752e+06 -7.7505062e-03 1.4924170e+06
-7.7812500e+08 -9.0000000e+08 2.0004152e+04 3.1075504e+06 -8.4371643e-03 1.5494019e+06
-7.6875000e+08 -9.0000000e+08 2.0004275e+04 3.1439881e+06 -8.8307478e-03 1.6056507e+06
