# plotfile = plt01150
# time = 4.038122881 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0006387e+04 2.5766570e+06 -8.8730519e-04 8.9249005e+05
-8.9062500e+08 -9.0000000e+08 2.0005849e+04 2.6156567e+06 -6.1142946e-03 9.3306748e+05
-8.8125000e+08 -9.0000000e+08 2.0005063e+04 2.6560557e+06 -6.9996433e-03 9.7904381e+05
-8.7187500e+08 -9.0000000e+08 2.0004711e+04 2.6971586e+06 -7.6719185e-03 1.0241035e+06
-8.6250000e+08 -9.0000000e+08 2.0004711e+04 2.7374681e+06 -8.4269028e-03 1.0693985e+06
-8.5312500e+08 -9.0000000e+08 2.0004776e+04 2.7761564e+06 -9.1310107e-03 1.1143294e+06
-8.4375000e+08 -9.0000000e+08 2.0004906e+04 2.8163210e+06 -1.0012350e-02 1.1630318e+06
-8.3437500e+08 -9.0000000e+08 2.0005057e+04 2.8589979e+06 -1.0833023e-02 1.2151449e+06
-8.2500000e+08 -9.0000000e+08 2.0005206e+04 2.9019376e+06 -1.1737531e-02 1.2686613e+06
-8.1562500e+08 -9.0000000e+08 2.0005352e+04 2.9405056e+06 -1.2707052e-02 1.3189526e+06
-8.0625000e+08 -9.0000000e+08 2.0005502e+04 2.9789523e+06 -1.3687885e-02 1.3711329e+06
-7.9687500e+08 -9.0000000e+08 2.0005656e+04 3.0224570e+06 -1.4767717e-02 1.4304559e+06
-7.8750000e+08 -9.0000000e+08 2.0005816e+04 3.0675519e+06 -1.5763844e-02 1.4929168e+06
-7.7812500e+08 -9.0000000e+08 2.0005982e+04 3.1064806e+06 -1.7462672e-02 1.5496893e+06
-7.6875000e+08 -9.0000000e+08 2.0006153e+04 3.1429014e+06 -1.8150619e-02 1.6059068e+06
-7.5937500e+08 -9.0000000e+08 2.0006328e+04 3.1859611e+06 -1.9425451e-02 1.6725508e+06
-7.5000000e+08 -9.0000000e+08 2.0006509e+04 3.2322479e+06 -2.0439639e-02 1.7441667e+06
-7.4062500e+08 -9.0000000e+08 2.0006696e+04 3.2702365e+06 -2.2877937e-02 1.8081108e+06
-7.3125000e+08 -9.0000000e+08 2.0006887e+04 3.3044808e+06 -2.3053867e-02 1.8686431e+06
-7.2187500e+08 -9.0000000e+08 2.0007084e+04 3.3473631e+06 -2.5265051e-02 1.9439620e+06
-7.1250000e+08 -9.0000000e+08 2.0007287e+04 3.3943559e+06 -2.6740890e-02 2.0264665e+06
-7.0312500e+08 -9.0000000e+08 2.0007496e+04 3.4292297e+06 -2.7459305e-02 2.0934599e+06
-6.9375000e+08 -9.0000000e+08 2.0007710e+04 3.4605451e+06 -2.8991242e-02 2.1606231e+06
-6.8437500e+08 -9.0000000e+08 2.0007930e+04 3.5043758e+06 -3.1247730e-02 2.2478700e+06
-6.7500000e+08 -9.0000000e+08 2.0008156e+04 3.5489798e+06 -3.3804497e-02 2.3393889e+06
-6.6562500e+08 -9.0000000e+08 2.0008388e+04 3.5783095e+06 -3.4237822e-02 2.4065437e+06
-6.5625000e+08 -9.0000000e+08 2.0008626e+04 3.6083213e+06 -3.5348827e-02 2.4853987e+06
-6.4687500e+08 -9.0000000e+08 2.0008870e+04 3.6543585e+06 -3.6943659e-02 2.5877443e+06
-6.3750000e+08 -9.0000000e+08 2.0009120e+04 3.6885240e+06 -3.9149736e-02 2.6789700e+06
-6.2812500e+08 -9.0000000e+08 2.0009376e+04 3.7122144e+06 -4.0427606e-02 2.7480947e+06
-6.1875000e+08 -9.0000000e+08 2.0009639e+04 3.7480984e+06 -4.1739264e-02 2.8493672e+06
-6.0937500e+08 -9.0000000e+08 2.0009907e+04 3.7917783e+06 -4.6305716e-02 2.9643313e+06
-6.0000000e+08 -9.0000000e+08 2.0010182e+04 3.8124656e+06 -4.6828824e-02 3.0378912e+06
-5.9062500e+08 -9.0000000e+08 2.0010463e+04 3.8316559e+06 -4.7740192e-02 3.1283599e+06
-5.8125000e+08 -9.0000000e+08 2.0010750e+04 3.8752509e+06 -4.9603449e-02 3.2560721e+06
-5.7187500e+08 -9.0000000e+08 2.0011044e+04 3.8943215e+06 -5.1734517e-02 3.3522692e+06
