# plotfile = plt00400
# time = 1.386580665 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-4.2187500e+08 -9.0000000e+08 2.0007352e+04 -2.3720269e-03 -5.0186362e-01 -3.7140053e+06
-4.1250000e+08 -9.0000000e+08 2.0007525e+04 -2.5863872e-03 -5.2022775e-01 -3.7591470e+06
-4.0312500e+08 -9.0000000e+08 2.0007699e+04 -2.9185456e-03 -5.3836280e-01 -3.8045450e+06
-3.9375000e+08 -9.0000000e+08 2.0007874e+04 -3.8150627e-03 -5.5830390e-01 -3.8496125e+06
-3.8437500e+08 -9.0000000e+08 2.0008051e+04 -4.4266903e-03 -5.7818060e-01 -3.8944830e+06
-3.7500000e+08 -9.0000000e+08 2.0008228e+04 -4.4382505e-03 -5.9680675e-01 -3.9399866e+06
-3.6562500e+08 -9.0000000e+08 2.0008405e+04 -4.5288922e-03 -6.1567789e-01 -3.9863397e+06
-3.5625000e+08 -9.0000000e+08 2.0008583e+04 -4.5872026e-03 -6.3461978e-01 -4.0307409e+06
-3.4687500e+08 -9.0000000e+08 2.0008762e+04 -4.5543011e-03 -6.5368120e-01 -4.0752189e+06
-3.3750000e+08 -9.0000000e+08 2.0008940e+04 -4.5483471e-03 -6.7195351e-01 -4.1142791e+06
-3.2812500e+08 -9.0000000e+08 2.0009118e+04 -4.6014183e-03 -6.9083059e-01 -4.1570444e+06
-3.1875000e+08 -9.0000000e+08 2.0009295e+04 -4.5867779e-03 -7.1030409e-01 -4.2031790e+06
-3.0937500e+08 -9.0000000e+08 2.0009472e+04 -4.5204692e-03 -7.2948814e-01 -4.2467355e+06
-3.0000000e+08 -9.0000000e+08 2.0009647e+04 -4.4720733e-03 -7.4736182e-01 -4.2820470e+06
-2.9062500e+08 -9.0000000e+08 2.0009821e+04 -4.4031840e-03 -7.6650764e-01 -4.3240140e+06
-2.8125000e+08 -9.0000000e+08 2.0009994e+04 -4.3372229e-03 -7.8586653e-01 -4.3689798e+06
-2.7187500e+08 -9.0000000e+08 2.0010165e+04 -4.3531817e-03 -8.0357274e-01 -4.4029086e+06
-2.6250000e+08 -9.0000000e+08 2.0010334e+04 -4.4179470e-03 -8.2185000e-01 -4.4422266e+06
-2.5312500e+08 -9.0000000e+08 2.0010500e+04 -4.3333323e-03 -8.4085820e-01 -4.4852704e+06
-2.4375000e+08 -9.0000000e+08 2.0010663e+04 -3.9833463e-03 -8.5745219e-01 -4.5146897e+06
-2.3437500e+08 -9.0000000e+08 2.0010824e+04 -3.7285735e-03 -8.7592587e-01 -4.5564872e+06
-2.2500000e+08 -9.0000000e+08 2.0010981e+04 -3.6829107e-03 -8.9190099e-01 -4.5876974e+06
-2.1562500e+08 -9.0000000e+08 2.0011135e+04 -3.6670693e-03 -9.0928906e-01 -4.6239210e+06
-2.0625000e+08 -9.0000000e+08 2.0011285e+04 -3.6255627e-03 -9.2536939e-01 -4.6569604e+06
-1.9687500e+08 -9.0000000e+08 2.0011430e+04 -3.4538155e-03 -9.4133155e-01 -4.6886941e+06
-1.8750000e+08 -9.0000000e+08 2.0011572e+04 -3.2500013e-03 -9.5675317e-01 -4.7182114e+06
-1.7812500e+08 -9.0000000e+08 2.0011708e+04 -3.1265955e-03 -9.7232567e-01 -4.7504682e+06
-1.6875000e+08 -9.0000000e+08 2.0011839e+04 -3.0672035e-03 -9.8577855e-01 -4.7719294e+06
-1.5937500e+08 -9.0000000e+08 2.0011966e+04 -2.9912722e-03 -1.0014773e+00 -4.8084526e+06
-1.5000000e+08 -9.0000000e+08 2.0012086e+04 -2.9192525e-03 -1.0136442e+00 -4.8280819e+06
-1.4062500e+08 -9.0000000e+08 2.0012201e+04 -2.7786955e-03 -1.0270177e+00 -4.8546988e+06
-1.3125000e+08 -9.0000000e+08 2.0012309e+04 -2.5535133e-03 -1.0395592e+00 -4.8804051e+06
-1.2187500e+08 -9.0000000e+08 2.0012412e+04 -2.3628677e-03 -1.0500435e+00 -4.8969191e+06
-1.1250000e+08 -9.0000000e+08 2.0012507e+04 -2.2116985e-03 -1.0608701e+00 -4.9169856e+06
-1.0312500e+08 -9.0000000e+08 2.0012596e+04 -2.0926844e-03 -1.0721445e+00 -4.9428211e+06
