# plotfile = plt01550
# time = 5.370637752 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-4.0312500e+08 -9.0000000e+08 2.0021821e+04 4.0031102e+06 -1.0651514e-01 5.5124096e+06
-3.9375000e+08 -9.0000000e+08 2.0022307e+04 3.9669229e+06 -1.0819078e-01 5.5509379e+06
-3.8437500e+08 -9.0000000e+08 2.0022796e+04 3.9637851e+06 -1.0982395e-01 5.7492927e+06
-3.7500000e+08 -9.0000000e+08 2.0023288e+04 3.9336749e+06 -1.1221909e-01 5.8863424e+06
-3.6562500e+08 -9.0000000e+08 2.0023781e+04 3.8851026e+06 -1.1178313e-01 5.9397114e+06
-3.5625000e+08 -9.0000000e+08 2.0024276e+04 3.8820208e+06 -1.1200586e-01 6.1704077e+06
-3.4687500e+08 -9.0000000e+08 2.0024771e+04 3.8301766e+06 -1.1682339e-01 6.2392715e+06
-3.3750000e+08 -9.0000000e+08 2.0025266e+04 3.7698108e+06 -1.1552627e-01 6.3429743e+06
-3.2812500e+08 -9.0000000e+08 2.0025761e+04 3.7613673e+06 -1.1695269e-01 6.6047193e+06
-3.1875000e+08 -9.0000000e+08 2.0026255e+04 3.7022122e+06 -1.1821279e-01 6.5682604e+06
-3.0937500e+08 -9.0000000e+08 2.0026746e+04 3.6454803e+06 -1.1750302e-01 6.7697386e+06
-3.0000000e+08 -9.0000000e+08 2.0027235e+04 3.5852237e+06 -1.2099844e-01 6.9466683e+06
-2.9062500e+08 -9.0000000e+08 2.0027720e+04 3.5061141e+06 -1.1530241e-01 6.9438165e+06
-2.8125000e+08 -9.0000000e+08 2.0028202e+04 3.4766336e+06 -1.1810521e-01 7.2298133e+06
-2.7187500e+08 -9.0000000e+08 2.0028678e+04 3.3950725e+06 -1.2441493e-01 7.2279564e+06
-2.6250000e+08 -9.0000000e+08 2.0029148e+04 3.3088728e+06 -1.2142738e-01 7.3578769e+06
-2.5312500e+08 -9.0000000e+08 2.0029612e+04 3.2308696e+06 -1.2531121e-01 7.6272716e+06
-2.4375000e+08 -9.0000000e+08 2.0030068e+04 3.1346735e+06 -1.2092446e-01 7.5103257e+06
-2.3437500e+08 -9.0000000e+08 2.0030517e+04 3.0991784e+06 -1.2404944e-01 7.8356006e+06
-2.2500000e+08 -9.0000000e+08 2.0030956e+04 2.9971054e+06 -1.2757093e-01 7.8131098e+06
-2.1562500e+08 -9.0000000e+08 2.0031385e+04 2.8832805e+06 -1.2350813e-01 7.9101331e+06
-2.0625000e+08 -9.0000000e+08 2.0031804e+04 2.8178760e+06 -1.3036012e-01 8.2365123e+06
-1.9687500e+08 -9.0000000e+08 2.0032211e+04 2.7063280e+06 -1.2701097e-01 8.0204840e+06
-1.8750000e+08 -9.0000000e+08 2.0032606e+04 2.6281485e+06 -1.2592219e-01 8.4013050e+06
-1.7812500e+08 -9.0000000e+08 2.0032987e+04 2.5061541e+06 -1.3026587e-01 8.2931120e+06
-1.6875000e+08 -9.0000000e+08 2.0033355e+04 2.3769692e+06 -1.2494605e-01 8.4307939e+06
-1.5937500e+08 -9.0000000e+08 2.0033707e+04 2.2790351e+06 -1.3997293e-01 8.7177843e+06
-1.5000000e+08 -9.0000000e+08 2.0034045e+04 2.1488108e+06 -1.2738056e-01 8.4395729e+06
-1.4062500e+08 -9.0000000e+08 2.0034365e+04 2.0582774e+06 -1.2868799e-01 8.9500018e+06
-1.3125000e+08 -9.0000000e+08 2.0034670e+04 1.9207918e+06 -1.3103987e-01 8.6216964e+06
-1.2187500e+08 -9.0000000e+08 2.0034956e+04 1.7993149e+06 -1.2886480e-01 8.9126222e+06
-1.1250000e+08 -9.0000000e+08 2.0035224e+04 1.6574483e+06 -1.3715319e-01 9.0258365e+06
-1.0312500e+08 -9.0000000e+08 2.0035473e+04 1.5097950e+06 -1.2616522e-01 8.7872143e+06
-9.3750000e+07 -9.0000000e+08 2.0035702e+04 1.4095275e+06 -1.5359417e-01 9.4337623e+06
-8.4375000e+07 -9.0000000e+08 2.0035911e+04 1.2602216e+06 -1.3648765e-01 8.7155445e+06
-7.5000000e+07 -9.0000000e+08 2.0036100e+04 1.1599784e+06 -1.3697654e-01 9.4722970e+06
-6.5625000e+07 -9.0000000e+08 2.0036267e+04 1.0058828e+06 -1.3682523e-01 8.9888718e+06
-5.6250000e+07 -9.0000000e+08 2.0036415e+04 8.5246687e+05 -1.3200261e-01 9.1466328e+06
-4.6875000e+07 -9.0000000e+08 2.0036534e+04 7.1456747e+05 -1.4985541e-01 9.7499009e+06
-3.7500000e+07 -9.0000000e+08 2.0036641e+04 5.6128550e+05 -1.2336543e-01 8.4215685e+06
-2.8125000e+07 -9.0000000e+08 2.0036723e+04 4.5647568e+05 -1.5621050e-01 1.0757288e+07
-1.8750000e+07 -9.0000000e+08 2.0036778e+04 3.0683164e+05 -1.1200654e-01 6.9638307e+06
-9.3750000e+06 -9.0000000e+08 2.0036801e+04 2.2189650e+05 -1.1399768e-01 9.8453090e+06
0.0000000e+00 -9.0000000e+08 2.0036783e+04 -2.0752816e-01 -1.7046483e-01 4.4011731e+07
9.3750000e+06 -9.0000000e+08 2.0036801e+04 -2.2189684e+05 -1.1491894e-01 9.8453078e+06
1.8750000e+07 -9.0000000e+08 2.0036778e+04 -3.0683196e+05 -1.1376438e-01 6.9638316e+06
2.8125000e+07 -9.0000000e+08 2.0036723e+04 -4.5647602e+05 -1.5933174e-01 1.0757288e+07
3.7500000e+07 -9.0000000e+08 2.0036641e+04 -5.6128584e+05 -1.2731674e-01 8.4215693e+06
4.6875000e+07 -9.0000000e+08 2.0036534e+04 -7.1456782e+05 -1.5565242e-01 9.7499017e+06
5.6250000e+07 -9.0000000e+08 2.0036415e+04 -8.5246721e+05 -1.3818366e-01 9.1466336e+06
6.5625000e+07 -9.0000000e+08 2.0036267e+04 -1.0058831e+06 -1.4398098e-01 8.9888731e+06
