# plotfile = plt00000
# time = 0 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-3.9375000e+08 -9.0000000e+08 2.0000000e+04 3.9634492e+06 0.0000000e+00 5.5637776e+06
-3.8437500e+08 -9.0000000e+08 2.0000000e+04 3.9624793e+06 0.0000000e+00 5.7771666e+06
-3.7500000e+08 -9.0000000e+08 2.0000000e+04 3.9290171e+06 0.0000000e+00 5.9217821e+06
-3.6562500e+08 -9.0000000e+08 2.0000000e+04 3.8802193e+06 0.0000000e+00 5.9563556e+06
-3.5625000e+08 -9.0000000e+08 2.0000000e+04 3.8809037e+06 0.0000000e+00 6.1995827e+06
-3.4687500e+08 -9.0000000e+08 2.0000000e+04 3.8231231e+06 0.0000000e+00 6.2785265e+06
-3.3750000e+08 -9.0000000e+08 2.0000000e+04 3.7657658e+06 0.0000000e+00 6.3684491e+06
-3.2812500e+08 -9.0000000e+08 2.0000000e+04 3.7615583e+06 0.0000000e+00 6.6339552e+06
-3.1875000e+08 -9.0000000e+08 2.0000000e+04 3.6930038e+06 0.0000000e+00 6.5940541e+06
-3.0937500e+08 -9.0000000e+08 2.0000000e+04 3.6372086e+06 0.0000000e+00 6.8132412e+06
-3.0000000e+08 -9.0000000e+08 2.0000000e+04 3.5794902e+06 0.0000000e+00 6.9967626e+06
-2.9062500e+08 -9.0000000e+08 2.0000000e+04 3.5000182e+06 0.0000000e+00 6.9604382e+06
-2.8125000e+08 -9.0000000e+08 2.0000000e+04 3.4728665e+06 0.0000000e+00 7.2702872e+06
-2.7187500e+08 -9.0000000e+08 2.0000000e+04 3.3842443e+06 0.0000000e+00 7.2747447e+06
-2.6250000e+08 -9.0000000e+08 2.0000000e+04 3.3010615e+06 0.0000000e+00 7.3953476e+06
-2.5312500e+08 -9.0000000e+08 2.0000000e+04 3.2290998e+06 0.0000000e+00 7.6906290e+06
-2.4375000e+08 -9.0000000e+08 2.0000000e+04 3.1298863e+06 0.0000000e+00 7.5192936e+06
-2.3437500e+08 -9.0000000e+08 2.0000000e+04 3.0936884e+06 0.0000000e+00 7.8791425e+06
-2.2500000e+08 -9.0000000e+08 2.0000000e+04 2.9858067e+06 0.0000000e+00 7.8732459e+06
-2.1562500e+08 -9.0000000e+08 2.0000000e+04 2.8764066e+06 0.0000000e+00 7.9469140e+06
-2.0625000e+08 -9.0000000e+08 2.0000000e+04 2.8158363e+06 0.0000000e+00 8.2921320e+06
-1.9687500e+08 -9.0000000e+08 2.0000000e+04 2.6981636e+06 0.0000000e+00 8.0431970e+06
-1.8750000e+08 -9.0000000e+08 2.0000000e+04 2.6214847e+06 0.0000000e+00 8.4530840e+06
-1.7812500e+08 -9.0000000e+08 2.0000000e+04 2.4960878e+06 0.0000000e+00 8.3576011e+06
-1.6875000e+08 -9.0000000e+08 2.0000000e+04 2.3694594e+06 0.0000000e+00 8.4743199e+06
-1.5937500e+08 -9.0000000e+08 2.0000000e+04 2.2743450e+06 0.0000000e+00 8.7896081e+06
-1.5000000e+08 -9.0000000e+08 2.0000000e+04 2.1407598e+06 0.0000000e+00 8.4582500e+06
-1.4062500e+08 -9.0000000e+08 2.0000000e+04 2.0541984e+06 0.0000000e+00 9.0157911e+06
-1.3125000e+08 -9.0000000e+08 2.0000000e+04 1.9139840e+06 0.0000000e+00 8.6700612e+06
-1.2187500e+08 -9.0000000e+08 2.0000000e+04 1.7914539e+06 0.0000000e+00 8.9614865e+06
-1.1250000e+08 -9.0000000e+08 2.0000000e+04 1.6494093e+06 0.0000000e+00 9.1227388e+06
-1.0312500e+08 -9.0000000e+08 2.0000000e+04 1.5033193e+06 0.0000000e+00 8.8017379e+06
-9.3750000e+07 -9.0000000e+08 2.0000000e+04 1.4057347e+06 0.0000000e+00 9.5202165e+06
-8.4375000e+07 -9.0000000e+08 2.0000000e+04 1.2548756e+06 0.0000000e+00 8.7364402e+06
-7.5000000e+07 -9.0000000e+08 2.0000000e+04 1.1570051e+06 0.0000000e+00 9.5258638e+06
-6.5625000e+07 -9.0000000e+08 2.0000000e+04 1.0019627e+06 0.0000000e+00 9.0658542e+06
-5.6250000e+07 -9.0000000e+08 2.0000000e+04 8.4987256e+05 0.0000000e+00 9.1872239e+06
-4.6875000e+07 -9.0000000e+08 2.0000000e+04 7.1303482e+05 0.0000000e+00 9.8523678e+06
-3.7500000e+07 -9.0000000e+08 2.0000000e+04 5.5863199e+05 0.0000000e+00 8.4313040e+06
-2.8125000e+07 -9.0000000e+08 2.0000000e+04 4.5516812e+05 0.0000000e+00 1.0841004e+07
-1.8750000e+07 -9.0000000e+08 2.0000000e+04 3.0569249e+05 0.0000000e+00 6.9847805e+06
-9.3750000e+06 -9.0000000e+08 2.0000000e+04 2.2201626e+05 0.0000000e+00 9.9054065e+06
0.0000000e+00 -9.0000000e+08 2.0000000e+04 0.0000000e+00 0.0000000e+00 4.4310908e+07
9.3750000e+06 -9.0000000e+08 2.0000000e+04 -2.2201626e+05 0.0000000e+00 9.9054065e+06
1.8750000e+07 -9.0000000e+08 2.0000000e+04 -3.0569249e+05 0.0000000e+00 6.9847805e+06
2.8125000e+07 -9.0000000e+08 2.0000000e+04 -4.5516812e+05 0.0000000e+00 1.0841004e+07
3.7500000e+07 -9.0000000e+08 2.0000000e+04 -5.5863199e+05 0.0000000e+00 8.4313040e+06
4.6875000e+07 -9.0000000e+08 2.0000000e+04 -7.1303482e+05 0.0000000e+00 9.8523678e+06
5.6250000e+07 -9.0000000e+08 2.0000000e+04 -8.4987256e+05 0.0000000e+00 9.1872239e+06
6.5625000e+07 -9.0000000e+08 2.0000000e+04 -1.0019627e+06 0.0000000e+00 9.0658542e+06
7.5000000e+07 -9.0000000e+08 2.0000000e+04 -1.1570051e+06 0.0000000e+00 9.5258638e+06
