# plotfile = plt05805
# time = 21.00139864 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0026971e+04 2.5646346e+06 -3.4106308e-03 8.9808516e+05
-8.9062500e+08 -9.0000000e+08 2.0025966e+04 2.6033126e+06 -2.2831265e-02 9.3689752e+05
-8.8125000e+08 -9.0000000e+08 2.0024103e+04 2.6432502e+06 -2.8049311e-02 9.8741471e+05
-8.7187500e+08 -9.0000000e+08 2.0022469e+04 2.6841776e+06 -3.2320299e-02 1.0347726e+06
-8.6250000e+08 -9.0000000e+08 2.0021727e+04 2.7249979e+06 -3.5308572e-02 1.0798850e+06
-8.5312500e+08 -9.0000000e+08 2.0021663e+04 2.7643144e+06 -3.8083468e-02 1.1235483e+06
-8.4375000e+08 -9.0000000e+08 2.0021674e+04 2.8038157e+06 -4.2566719e-02 1.1708075e+06
-8.3437500e+08 -9.0000000e+08 2.0021890e+04 2.8453341e+06 -4.7261823e-02 1.2225402e+06
-8.2500000e+08 -9.0000000e+08 2.0022344e+04 2.8884815e+06 -4.6672395e-02 1.2769589e+06
-8.1562500e+08 -9.0000000e+08 2.0022919e+04 2.9288499e+06 -4.5397668e-02 1.3263206e+06
-8.0625000e+08 -9.0000000e+08 2.0023537e+04 2.9671805e+06 -5.2822147e-02 1.3768264e+06
-7.9687500e+08 -9.0000000e+08 2.0024163e+04 3.0084498e+06 -6.1230614e-02 1.4348414e+06
-7.8750000e+08 -9.0000000e+08 2.0024791e+04 3.0531537e+06 -5.9332841e-02 1.4989191e+06
-7.7812500e+08 -9.0000000e+08 2.0025424e+04 3.0948122e+06 -8.7220782e-02 1.5553540e+06
-7.6875000e+08 -9.0000000e+08 2.0026070e+04 3.1320870e+06 -9.1994378e-02 1.6093458e+06
-7.5937500e+08 -9.0000000e+08 2.0026734e+04 3.1721772e+06 -9.9724584e-02 1.6734259e+06
-7.5000000e+08 -9.0000000e+08 2.0027421e+04 3.2174479e+06 -1.0661768e-01 1.7472840e+06
-7.4062500e+08 -9.0000000e+08 2.0028129e+04 3.2590808e+06 -1.3061877e-01 1.8108986e+06
-7.3125000e+08 -9.0000000e+08 2.0028861e+04 3.2946833e+06 -1.1674839e-01 1.8693892e+06
-7.2187500e+08 -9.0000000e+08 2.0029615e+04 3.3336841e+06 -1.1724908e-01 1.9406523e+06
-7.1250000e+08 -9.0000000e+08 2.0030391e+04 3.3794774e+06 -1.5188246e-01 2.0264766e+06
-7.0312500e+08 -9.0000000e+08 2.0031189e+04 3.4196103e+06 -1.3845488e-01 2.0938402e+06
-6.9375000e+08 -9.0000000e+08 2.0032011e+04 3.4520615e+06 -1.1053787e-01 2.1566174e+06
-6.8437500e+08 -9.0000000e+08 2.0032856e+04 3.4906231e+06 -1.1304032e-01 2.2395601e+06
-6.7500000e+08 -9.0000000e+08 2.0033724e+04 3.5353774e+06 -1.6350549e-01 2.3356900e+06
-6.6562500e+08 -9.0000000e+08 2.0034617e+04 3.5713357e+06 -1.8119349e-01 2.4035857e+06
-6.5625000e+08 -9.0000000e+08 2.0035534e+04 3.6002507e+06 -1.5004152e-01 2.4740408e+06
-6.4687500e+08 -9.0000000e+08 2.0036475e+04 3.6404520e+06 -1.7693788e-01 2.5760890e+06
-6.3750000e+08 -9.0000000e+08 2.0037441e+04 3.6793947e+06 -1.8374364e-01 2.6693356e+06
