# plotfile = plt00700
# time = 2.523568424 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0004404e+04 -5.4422630e-03 -5.4422666e-03 -1.7536928e+06
-8.9062500e+08 -9.0000000e+08 2.0003945e+04 -5.4218577e-03 -1.6107665e-02 -1.7741483e+06
-8.8125000e+08 -9.0000000e+08 2.0003389e+04 -5.3714601e-03 -2.7918685e-02 -1.8075208e+06
-8.7187500e+08 -9.0000000e+08 2.0003210e+04 -5.2899244e-03 -3.9863082e-02 -1.8333313e+06
-8.6250000e+08 -9.0000000e+08 2.0003216e+04 -5.1883678e-03 -5.2314742e-02 -1.8636025e+06
-8.5312500e+08 -9.0000000e+08 2.0003285e+04 -5.1110684e-03 -6.5098443e-02 -1.8929840e+06
-8.4375000e+08 -9.0000000e+08 2.0003387e+04 -5.0227841e-03 -7.8353002e-02 -1.9218419e+06
-8.3437500e+08 -9.0000000e+08 2.0003493e+04 -4.9284350e-03 -9.2121142e-02 -1.9542519e+06
-8.2500000e+08 -9.0000000e+08 2.0003596e+04 -4.8398915e-03 -1.0620094e-01 -1.9822803e+06
-8.1562500e+08 -9.0000000e+08 2.0003700e+04 -4.7438769e-03 -1.2105170e-01 -2.0170793e+06
-8.0625000e+08 -9.0000000e+08 2.0003807e+04 -4.6729163e-03 -1.3604351e-01 -2.0453448e+06
-7.9687500e+08 -9.0000000e+08 2.0003919e+04 -4.5746815e-03 -1.5211206e-01 -2.0815429e+06
-7.8750000e+08 -9.0000000e+08 2.0004034e+04 -4.5338159e-03 -1.6802875e-01 -2.1106178e+06
-7.7812500e+08 -9.0000000e+08 2.0004153e+04 -4.4705610e-03 -1.8519483e-01 -2.1476057e+06
-7.6875000e+08 -9.0000000e+08 2.0004275e+04 -4.3484524e-03 -2.0242194e-01 -2.1777538e+06
-7.5937500e+08 -9.0000000e+08 2.0004401e+04 -4.2825570e-03 -2.2072447e-01 -2.2150915e+06
-7.5000000e+08 -9.0000000e+08 2.0004531e+04 -4.1779959e-03 -2.3946913e-01 -2.2477959e+06
-7.4062500e+08 -9.0000000e+08 2.0004664e+04 -4.0803611e-03 -2.5881509e-01 -2.2840526e+06
-7.3125000e+08 -9.0000000e+08 2.0004802e+04 -4.0303218e-03 -2.7900020e-01 -2.3206756e+06
-7.2187500e+08 -9.0000000e+08 2.0004943e+04 -3.9407119e-03 -2.9955884e-01 -2.3544291e+06
-7.1250000e+08 -9.0000000e+08 2.0005088e+04 -3.8663910e-03 -3.2145960e-01 -2.3945136e+06
-7.0312500e+08 -9.0000000e+08 2.0005238e+04 -3.7135436e-03 -3.4317204e-01 -2.4276745e+06
-6.9375000e+08 -9.0000000e+08 2.0005391e+04 -3.5891677e-03 -3.6681110e-01 -2.4674174e+06
-6.8437500e+08 -9.0000000e+08 2.0005549e+04 -3.6504794e-03 -3.9062165e-01 -2.5064391e+06
-6.7500000e+08 -9.0000000e+08 2.0005710e+04 -3.5345858e-03 -4.1502530e-01 -2.5411828e+06
-6.6562500e+08 -9.0000000e+08 2.0005877e+04 -3.3871680e-03 -4.4094652e-01 -2.5841374e+06
-6.5625000e+08 -9.0000000e+08 2.0006047e+04 -3.4120584e-03 -4.6706384e-01 -2.6219261e+06
-6.4687500e+08 -9.0000000e+08 2.0006222e+04 -3.3279924e-03 -4.9399380e-01 -2.6593029e+06
-6.3750000e+08 -9.0000000e+08 2.0006401e+04 -3.2721974e-03 -5.2258157e-01 -2.7030443e+06
-6.2812500e+08 -9.0000000e+08 2.0006584e+04 -3.1770595e-03 -5.5189887e-01 -2.7437922e+06
-6.1875000e+08 -9.0000000e+08 2.0006772e+04 -2.8878752e-03 -5.8163459e-01 -2.7814421e+06
-6.0937500e+08 -9.0000000e+08 2.0006964e+04 -2.7627761e-03 -6.1247642e-01 -2.8244525e+06
-6.0000000e+08 -9.0000000e+08 2.0007161e+04 -3.0165835e-03 -6.4438121e-01 -2.8678834e+06
-5.9062500e+08 -9.0000000e+08 2.0007362e+04 -2.9495507e-03 -6.7726383e-01 -2.9081770e+06
-5.8125000e+08 -9.0000000e+08 2.0007568e+04 -2.8034058e-03 -7.1049305e-01 -2.9494727e+06
-5.7187500e+08 -9.0000000e+08 2.0007778e+04 -2.8464351e-03 -7.4562193e-01 -2.9932650e+06
-5.6250000e+08 -9.0000000e+08 2.0007992e+04 -2.6347182e-03 -7.8192308e-01 -3.0383255e+06
-5.5312500e+08 -9.0000000e+08 2.0008211e+04 -2.3035938e-03 -8.1909247e-01 -3.0816601e+06
-5.4375000e+08 -9.0000000e+08 2.0008434e+04 -2.4556731e-03 -8.5581166e-01 -3.1236126e+06
-5.3437500e+08 -9.0000000e+08 2.0008661e+04 -2.5798894e-03 -8.9461995e-01 -3.1671669e+06
-5.2500000e+08 -9.0000000e+08 2.0008893e+04 -2.2008352e-03 -9.3472311e-01 -3.2117353e+06
-5.1562500e+08 -9.0000000e+08 2.0009128e+04 -2.4948881e-03 -9.7520656e-01 -3.2571612e+06
-5.0625000e+08 -9.0000000e+08 2.0009368e+04 -2.4426871e-03 -1.0176139e+00 -3.3027826e+06
-4.9687500e+08 -9.0000000e+08 2.0009611e+04 -2.0744515e-03 -1.0603240e+00 -3.3477212e+06
