# 256^3 magnetised run, dir_rot256, first 44 plotfiles (t = 0 to 5.137 s).
# tools/fbtbp.cpp with rho_cut = 1.0e5 g/cm^3. Same columns as bt_bp_192.csv.
# These are the plotfiles of the FIRST attempt, written at cfl = 0.5 and
# plot_int = 50, before the run died at t = 5.146 and was restarted at
# cfl = 0.3. They are the convergence data against the 192^3 run.
t,E_tor,E_pol,Et_over_Ep,Et_over_Emag,Btor_max_G,Bpol_max_G,B_max_G,Bt_over_Bp_amp,B_over_Bc,M_Msun,R_eq_e8,R_pol_e8,R_vol_e8,Rpol_over_Req
3.125420e+00,3.518360e+49,6.233300e+47,5.644450e+01,9.825919e-01,6.596510e+13,3.664510e+13,6.829360e+13,1.800110e+00,1.547200e+00,2.005290e+00,4.416830e+00,1.828120e+00,3.428370e+00,4.139000e-01
3.252770e+00,3.470840e+49,8.496500e+47,4.085030e+01,9.761053e-01,6.742380e+13,4.604530e+13,7.138830e+13,1.464290e+00,1.617320e+00,2.004560e+00,4.591900e+00,1.828120e+00,3.299810e+00,3.981000e-01
3.377380e+00,3.421420e+49,1.216800e+48,2.811830e+01,9.656573e-01,6.657900e+13,5.760220e+13,7.419530e+13,1.155840e+00,1.680910e+00,2.004900e+00,4.588130e+00,1.898440e+00,3.359410e+00,4.138000e-01
3.499860e+00,3.345800e+49,1.736100e+48,1.927190e+01,9.506706e-01,6.415210e+13,6.985120e+13,7.700930e+13,9.184110e-01,1.744660e+00,2.004930e+00,4.233960e+00,1.968750e+00,3.362330e+00,4.650000e-01
3.618550e+00,3.217540e+49,2.424400e+48,1.327150e+01,9.299303e-01,6.313520e+13,7.156970e+13,8.292820e+13,8.821500e-01,1.878750e+00,2.004000e+00,3.890130e+00,2.039060e+00,3.183960e+00,5.242000e-01
3.696370e+00,3.100420e+49,2.876490e+48,1.077850e+01,9.150995e-01,6.147020e+13,7.243030e+13,8.260750e+13,8.486810e-01,1.871490e+00,2.003200e+00,3.700600e+00,2.109380e+00,3.015520e+00,5.700000e-01
3.732250e+00,3.047480e+49,3.046370e+48,1.000360e+01,9.091210e-01,6.150520e+13,7.363690e+13,7.944390e+13,8.352490e-01,1.799820e+00,2.002890e+00,3.700600e+00,2.179690e+00,2.945010e+00,5.890000e-01
3.784720e+00,2.975530e+49,3.247770e+48,9.161750e+00,9.015918e-01,5.857620e+13,7.100740e+13,7.591320e+13,8.249310e-01,1.719830e+00,2.002640e+00,3.502950e+00,2.179690e+00,2.888550e+00,6.222000e-01
3.836870e+00,2.904790e+49,3.389660e+48,8.569570e+00,8.955021e-01,5.665960e+13,7.042310e+13,7.233430e+13,8.045600e-01,1.638750e+00,2.002740e+00,3.043810e+00,2.179690e+00,2.914240e+00,7.161000e-01
3.924210e+00,2.806030e+49,3.530080e+48,7.948900e+00,8.882544e-01,5.778530e+13,6.759980e+13,7.015850e+13,8.548140e-01,1.589450e+00,2.003020e+00,3.291950e+00,2.039060e+00,2.975270e+00,6.194000e-01
