# Angular momentum and rotation profile of the 192^3 run, t = 0 to 60 s.
# tools/fbtbp.cpp over cells with rho > 1.0e5 g/cm^3 -- the star, not the box.
# Lz in g cm^2/s; Omega in rad/s, mass-weighted inside cylindrical shells at
# varpi < 0.15 R_eq (core), 0.45-0.55 (mid) and 0.65-0.75 (out).
# Lz_inner and Lz_outer split the star at the radius enclosing half the MASS
# (r_half, in 1e8 cm), recomputed at every snapshot: a shell at fixed radius
# would measure the 14% pulsation rather than the transport.
t,Lz_star,Om_mean,Om_core,Om_mid,Om_out,Lz_inner,Lz_outer,Lz_ratio,r_half
14.50386,2.15857e+50,3.73246,6.18583,3.34676,2.18496,3.69764e+49,1.78881e+50,4.83770,0.893625
15.00181,2.15570e+50,4.57973,7.00641,3.70362,2.37910,3.66695e+49,1.78900e+50,4.87872,0.844659
15.50345,2.15496e+50,3.69096,6.13214,3.30765,2.16748,3.63309e+49,1.79165e+50,4.93150,0.893625
16.00355,2.15502e+50,3.77454,6.17685,3.34730,2.18467,3.68035e+49,1.78699e+50,4.85548,0.893625
16.50077,2.15227e+50,4.57987,7.09235,3.69820,2.31965,3.71384e+49,1.78088e+50,4.79527,0.844659
17.00316,2.15162e+50,3.71688,6.06568,3.30577,2.16860,3.57960e+49,1.79366e+50,5.01079,0.893625
17.50086,2.15167e+50,3.79972,6.23297,3.34970,2.16819,3.74315e+49,1.77735e+50,4.74829,0.893625
18.00162,2.14912e+50,4.58769,7.04755,3.68575,2.32663,3.69397e+49,1.77972e+50,4.81791,0.844659
18.50152,2.14843e+50,3.71430,6.14425,3.29867,2.14797,3.63938e+49,1.78449e+50,4.90329,0.893625
19.00124,2.14844e+50,3.84298,6.28868,3.35903,2.16904,3.77875e+49,1.77056e+50,4.68558,0.893625
19.50297,2.14631e+50,4.58876,7.09172,3.67812,2.28599,3.71118e+49,1.77519e+50,4.78335,0.844659
20.00312,2.14565e+50,3.70733,6.09434,3.29017,2.13807,3.59301e+49,1.78635e+50,4.97174,0.893625
20.50249,2.14555e+50,3.89778,6.37824,3.36931,2.16123,3.82183e+49,1.76337e+50,4.61395,0.893625
21.00140,2.14361e+50,4.58523,7.13500,3.66072,2.26519,3.71777e+49,1.77183e+50,4.76584,0.844659
21.50289,2.14295e+50,3.69459,6.14436,3.27401,2.12185,3.60014e+49,1.78294e+50,4.95242,0.893625
22.00139,2.14290e+50,3.94521,6.49067,3.38124,2.15648,3.59063e+49,1.78384e+50,4.96805,0.869142
22.50198,2.14101e+50,4.56481,7.14104,3.64550,2.24066,3.69620e+49,1.77139e+50,4.79247,0.844659
23.00354,2.14038e+50,3.68135,6.14029,3.26343,2.10980,3.57332e+49,1.78305e+50,4.98988,0.893625
23.50131,2.14015e+50,4.01625,6.58498,3.39916,2.15287,3.63997e+49,1.77616e+50,4.87958,0.869142
24.00216,2.13850e+50,4.53908,7.17333,3.62011,2.21235,3.68926e+49,1.76957e+50,4.79655,0.844659
24.50012,2.13788e+50,3.67159,6.16118,3.24985,2.09520,3.57031e+49,1.78085e+50,4.98796,0.893625
25.00020,2.13761e+50,4.08406,6.71644,3.41889,2.14841,3.72180e+49,1.76543e+50,4.74348,0.869142
25.50078,2.13611e+50,4.49517,7.13480,3.59323,2.18932,3.65210e+49,1.77090e+50,4.84900,0.844659
26.00058,2.13551e+50,3.66171,6.17132,3.23976,2.08205,3.84247e+49,1.75126e+50,4.55763,0.918108
26.50317,2.13499e+50,4.17706,6.81354,3.44513,2.14177,3.79342e+49,1.75565e+50,4.62813,0.869142
27.00018,2.13378e+50,4.43934,7.12429,3.55539,2.16455,3.62785e+49,1.77100e+50,4.88167,0.844659
27.50287,2.13324e+50,3.66292,6.17695,3.22991,2.07131,3.83989e+49,1.74926e+50,4.55549,0.918108
28.00294,2.13265e+50,4.25911,6.93545,3.47290,2.13628,3.49051e+49,1.78360e+50,5.10984,0.844659
28.50364,2.13158e+50,4.36081,7.03636,3.51556,2.13271,3.55408e+49,1.77618e+50,4.99758,0.844659
29.00394,2.13110e+50,3.66437,6.21543,3.22615,2.05896,3.85933e+49,1.74516e+50,4.52194,0.918108
29.50143,2.13025e+50,4.35078,7.03766,3.49869,2.13063,3.55765e+49,1.77448e+50,4.98779,0.844659
30.00321,2.12940e+50,4.27651,6.96989,3.46991,2.10871,3.49493e+49,1.77991e+50,5.09282,0.844659
30.50144,2.12901e+50,3.68609,6.25202,3.22724,2.04888,3.88208e+49,1.74080e+50,4.48419,0.918108
31.00031,2.12801e+50,4.43569,7.14999,3.52665,2.11768,3.63753e+49,1.76426e+50,4.85016,0.844659
31.50288,2.12737e+50,4.18594,6.88410,3.42465,2.08193,3.81148e+49,1.74622e+50,4.58148,0.869142
32.00301,2.12706e+50,3.71707,6.31681,3.23322,2.03974,3.64268e+49,1.76279e+50,4.83928,0.893625
32.50160,2.12598e+50,4.51762,7.25037,3.55119,2.11920,3.70545e+49,1.75544e+50,4.73745,0.844659
33.00012,2.12543e+50,4.10232,6.79269,3.38324,2.06248,3.72845e+49,1.75259e+50,4.70058,0.869142
33.50167,2.12520e+50,3.75955,6.38210,3.24301,2.02963,3.69050e+49,1.75615e+50,4.75856,0.893625
34.00127,2.12411e+50,4.58193,7.34273,3.56904,2.12305,3.76392e+49,1.74772e+50,4.64335,0.844659
34.50318,2.12362e+50,4.00419,6.69107,3.33677,2.04499,3.63867e+49,1.75975e+50,4.83625,0.869142
35.00115,2.12349e+50,3.82120,6.48108,3.26173,2.02946,3.76114e+49,1.74737e+50,4.64586,0.893625
35.50121,2.12230e+50,4.62035,7.39991,3.57640,2.10328,3.79917e+49,1.74238e+50,4.58621,0.844659
36.00115,2.12183e+50,3.92794,6.60591,3.29865,2.02780,3.85253e+49,1.73658e+50,4.50763,0.893625
36.50358,2.12170e+50,3.90141,6.60495,3.28526,2.02495,3.85430e+49,1.73627e+50,4.50475,0.893625
37.00092,2.12057e+50,4.62900,7.42360,3.57032,2.08393,3.80643e+49,1.73993e+50,4.57103,0.844659
37.50005,2.12007e+50,3.85966,6.54506,3.26450,2.00771,3.79118e+49,1.74095e+50,4.59212,0.893625
38.00189,2.11994e+50,3.99214,6.72700,3.31431,2.01610,3.64592e+49,1.75535e+50,4.81456,0.869142
38.50301,2.11894e+50,4.60133,7.42451,3.54965,2.06646,3.79297e+49,1.73965e+50,4.58650,0.844659
39.00141,2.11845e+50,3.80575,6.48367,3.23538,1.99195,3.72992e+49,1.74545e+50,4.67960,0.893625
39.50268,2.11826e+50,4.10063,6.88182,3.34910,2.01367,3.75907e+49,1.74235e+50,4.63505,0.869142
40.00118,2.11747e+50,4.54409,7.37352,3.51915,2.05006,3.74317e+49,1.74316e+50,4.65690,0.844659
40.50379,2.11698e+50,3.76776,6.46804,3.21454,1.98005,3.70150e+49,1.74683e+50,4.71924,0.893625
41.00175,2.11670e+50,4.21765,7.02734,3.38570,2.01509,3.86887e+49,1.72981e+50,4.47110,0.869142
41.50138,2.11605e+50,4.45350,7.31645,3.47333,2.03178,3.68322e+49,1.74773e+50,4.74511,0.844659
42.00384,2.11559e+50,3.75850,6.46114,3.20308,1.97117,3.97626e+49,1.71797e+50,4.32056,0.918108
42.50265,2.11511e+50,4.33463,7.18702,3.42067,2.01233,3.58478e+49,1.75664e+50,4.90026,0.844659
43.00144,2.11454e+50,4.34742,7.19834,3.42423,2.00665,3.58644e+49,1.75590e+50,4.89595,0.844659
43.50314,2.11417e+50,3.76629,6.50031,3.19978,1.96181,3.71185e+49,1.74298e+50,4.69573,0.893625
44.00326,2.11355e+50,4.44859,7.32479,3.45428,2.01019,3.68143e+49,1.74541e+50,4.74112,0.844659
44.50232,2.11315e+50,4.22536,7.07580,3.37008,1.98340,3.88278e+49,1.72487e+50,4.44235,0.869142
45.00269,2.11287e+50,3.80125,6.55537,3.20683,1.95490,3.75065e+49,1.73780e+50,4.63334,0.893625
45.50304,2.11221e+50,4.53847,7.44260,3.47988,2.00574,3.76600e+49,1.73561e+50,4.60862,0.844659
46.00345,2.11182e+50,4.10970,6.94951,3.32014,1.96502,3.76567e+49,1.73525e+50,4.60808,0.869142
46.50115,2.11162e+50,3.85486,6.64189,3.22077,1.95028,3.81807e+49,1.72981e+50,4.53059,0.893625
47.00109,2.11094e+50,4.59574,7.51808,3.49270,1.99918,3.81623e+49,1.72931e+50,4.53147,0.844659
47.50351,2.11054e+50,4.00759,6.82691,3.27490,1.94807,3.96766e+49,1.71377e+50,4.31936,0.893625
48.00222,2.11036e+50,3.93445,6.75512,3.24384,1.94278,3.90861e+49,1.71949e+50,4.39925,0.893625
48.50164,2.10972e+50,4.61643,7.55153,3.49156,1.99268,3.83558e+49,1.72616e+50,4.50038,0.844659
49.00380,2.10929e+50,3.91853,6.73357,3.23521,1.93271,3.87933e+49,1.72136e+50,4.43725,0.893625
49.50253,2.10913e+50,4.03625,6.88841,3.27525,1.94084,4.01785e+49,1.70735e+50,4.24940,0.893625
50.00257,2.10853e+50,4.58742,7.53878,3.47151,1.97451,3.81879e+49,1.72665e+50,4.52145,0.844659
50.50065,2.10807e+50,3.85985,6.66336,3.20585,1.91984,3.81393e+49,1.72668e+50,4.52728,0.893625
51.00166,2.10788e+50,4.15094,7.04278,3.30979,1.94145,3.83178e+49,1.72470e+50,4.50104,0.869142
51.50287,2.10737e+50,4.51762,7.48105,3.43788,1.95476,3.75999e+49,1.73137e+50,4.60473,0.844659
52.00103,2.10692e+50,3.82165,6.62534,3.18492,1.91154,3.77833e+49,1.72908e+50,4.57632,0.893625
52.50329,2.10667e+50,4.28082,7.20825,3.34805,1.93725,3.96163e+49,1.71050e+50,4.31768,0.869142
53.00283,2.10628e+50,4.41594,7.38595,3.39290,1.93752,3.67907e+49,1.73838e+50,4.72504,0.844659
53.50069,2.10587e+50,3.81473,6.62456,3.17494,1.90208,4.06774e+49,1.69910e+50,4.17702,0.918108
54.00006,2.10552e+50,4.39582,7.35910,3.37956,1.93704,3.66468e+49,1.73905e+50,4.74544,0.844659
54.50282,2.10515e+50,4.29635,7.25377,3.34341,1.92389,3.98027e+49,1.70712e+50,4.28896,0.869142
55.00368,2.10480e+50,3.83563,6.66491,3.17643,1.89614,3.80482e+49,1.72432e+50,4.53192,0.893625
55.50335,2.10436e+50,4.50484,7.48761,3.40891,1.94136,3.76208e+49,1.72815e+50,4.59360,0.844659
56.00318,2.10407e+50,4.17133,7.09934,3.29355,1.90914,3.85099e+49,1.71897e+50,4.46372,0.869142
56.50277,2.10381e+50,3.88470,6.73821,3.18784,1.89248,3.86612e+49,1.71720e+50,4.44165,0.893625
57.00227,2.10337e+50,4.57349,7.57565,3.42391,1.94876,3.82370e+49,1.72100e+50,4.50088,0.844659
57.50021,2.10304e+50,4.06176,6.96081,3.24829,1.89911,4.05112e+49,1.69793e+50,4.19125,0.893625
58.00064,2.10283e+50,3.96193,6.84210,3.20954,1.89010,3.95383e+49,1.70744e+50,4.31846,0.893625
58.50017,2.10240e+50,4.59933,7.61714,3.42444,1.93248,3.85148e+49,1.71725e+50,4.45867,0.844659
59.00022,2.10202e+50,3.96918,6.84037,3.20874,1.88368,3.94687e+49,1.70734e+50,4.32580,0.893625
59.50040,2.10184e+50,4.06193,6.98332,3.23741,1.88682,4.06997e+49,1.69484e+50,4.16426,0.893625
60.00000,2.10143e+50,4.57671,7.59348,3.40946,1.92273,3.83165e+49,1.71827e+50,4.48441,0.844659
