# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,rot_w,a_rot,T_over_W,shed,strict,beats_ceiling,B_over_Bc
1e-12,0.4,1000000000.0,gate,1.0913116496794526,1.3463785171468987,2.248399788132066,2.1227161152959937,2.892232094580599,16.859631146494852,1.0001288388490643,2.0700996377274583,2.297538413929892,0.8150212043846956,0.028360221351674597,0.028360221351674597,0.0004372306720447267,0.0,0.0,0.0,0.143253038338519,0.0,0.5,0.0,0.0,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.2338537332679556,1.3463785171468987,2.1331377166507557,1.946061786804235,2.2345339916970444,6.66176090370171,0.5552744814253138,1.9621340594873868,2.2332990003287887,0.2674033997238081,0.02339455149272654,0.02339455149272654,0.0003572323917590496,0.0,0.0,0.0,0.1450264359407499,0.02,0.5,0.01999675043721608,0.03306820115351247,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.2106407679395534,1.3463785171468987,2.169366056391588,2.081338440813945,2.255655704800865,3.9583256656741557,0.9802296893554169,1.9901135259414016,2.2557341935703774,0.4384421390291216,0.024306238361732513,0.024306238361732513,0.00037233438459680687,0.0,0.0,0.0,0.14264022188353082,0.02,1.0,0.0199970115831342,0.10939366285346361,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.2025087194587543,1.3463785171468987,2.1840164706554606,2.092846564501774,2.283680703279735,4.304315749369718,1.0,1.998394250390273,2.2695938826254936,0.49759881331055406,0.02465904669432251,0.02465904669432251,0.00037091871711621307,0.0,0.0,0.0,0.14043882433930527,0.02,2.0,0.0199967516820375,0.6223049639101519,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.414683126882235,1.3463785171468987,1.993121056968054,1.6491153965933305,2.16125801690175,12.657886694640588,0.004707853526199332,1.7919997814789586,2.1644863518637445,0.035705215198226205,0.01887388117304441,0.01887388117304441,0.00028752203845672035,0.0,0.0,0.0,0.14310153590314453,0.04,0.5,0.03999080216903098,0.05661967931997257,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.351295353148371,1.3463785171468987,2.061045363788617,1.8092930848471966,2.206258313679159,9.487873350317207,0.06997116510613795,1.8868839685851253,2.2055545061957216,0.03856963082432028,0.020694924612414733,0.020694924612414733,0.0003185653512491915,0.0,0.0,0.0,0.1413731811048768,0.04,1.0,0.03999224181697207,0.21221851474532014,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.04,2.0,,,,,
1e-12,0.4,1000000000.0,gate,1.651153828103842,1.3463785171468987,1.848526130138407,1.4448288673400926,2.086382402061395,17.096659811726788,0.01026932493659336,1.587361081918853,2.0905233658578606,0.20307725863224588,0.014782468930648721,0.014782468930648721,0.00023411873970397186,0.0,0.0,0.0,0.14004291214856876,0.06,0.5,0.0599807791168046,0.06881227174863655,False,False,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.06,1.0,,,,,
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.06,2.0,,,,,
