# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,strict,beats_ceiling,B_over_Bc
1e-12,0.7,1000000000.0,gate,1.3178558560338627,1.3463785171468987,2.050518324368331,1.980862743016576,2.466088760504674,11.656935321236713,1.0,1.9582567818491554,2.0740346124506135,0.0026325594507602503,0.0189340845453753,0.0189340845453753,0.0004921925380749737,0.0,0.0,0.0,0.07965519136072081,False,True,0.5548529983234264
1e-12,0.7,1000000000.0,gate,1.299107141262992,1.3463785171468987,2.0806682940553833,2.0228362202348165,2.5068571494840803,11.459489048611285,1.0425630050366903,1.9710847217759855,2.3717672059085078,0.055397926556232734,0.01936294092393253,0.024362589642004617,0.0004922068807657782,0.005,0.004999648718072086,0.37649742505628014,0.07924310843290402,False,True,0.5548529983234264
1e-12,0.7,1000000000.0,gate,1.280843471707998,1.3463785171468987,2.122363959545465,2.059183524333808,2.5507803458521336,11.41019761672136,1.2819941815370377,1.9844240480517128,3.182909760574927,0.10038996163973721,0.01979316087733379,0.029792575730510768,0.0004918342556031668,0.01,0.009999414853176979,0.5266324803075074,0.07884284871434023,False,True,0.5548529983234264
1e-12,0.7,1000000000.0,gate,1.2080345251482947,1.3463785171468987,2.3145860560130687,2.099717442978906,3.8648436148876333,37.56698868333317,1.4001530947190293,2.040425639415589,4.9600445447160535,0.11339465830104521,0.021581026459968542,0.04158057632264601,0.02372628220119881,0.02,0.01999954986267747,0.7262969380323402,0.07850521064142166,False,True,0.5548529983234264
1e-12,0.7,3000000000.0,gate,1.2621738725716622,1.386779267460252,2.0964127316845023,2.0443874228435797,2.2022398753676806,3.7091851072248105,1.0,2.0451734789802334,2.125219276944841,0.0006752669783868706,0.010592494699483283,0.010592494699483283,0.000647955259392232,0.0,0.0,0.0,0.03853754283079065,False,False,0.8117921831436476
1e-12,0.7,3000000000.0,gate,1.2437395966768692,1.386779267460252,2.1321419655097014,2.074944958205495,2.2280066537432006,3.536342853255997,1.3047885854594783,2.0618763882191358,2.559621006650764,0.08845372617649895,0.010832292749897304,0.01583209751316136,0.0006502594472135941,0.005,0.004999804763264055,0.481133435991536,0.03834921911742549,False,False,0.8117921831436476
1e-12,0.7,3000000000.0,gate,1.2257920565860512,1.386779267460252,2.193936340149667,2.104079537801501,2.4121704690611563,6.917654303709154,1.3844459411899792,2.07752114042749,3.9552642123139723,0.12531071556944176,0.011072730593524018,0.02107245828378651,0.0006515699154961648,0.01,0.009999727690262496,0.6730013421396299,0.03816637991278738,False,False,0.8117921831436476
1e-12,0.7,3000000000.0,gate,1.1488363007057207,1.386779267460252,2.3186017442489635,2.1669572274580187,3.141454744818411,20.704204130755702,1.5059862060139984,2.141487730059103,5.0035825068359365,0.14723486502819547,0.012145448976783761,0.032145814886777646,0.027003201159819284,0.02,0.020000365909993885,0.9087855100700799,0.03738206834274163,False,False,0.8117921831436476
1e-12,0.8,1000000000.0,gate,1.3851054058892358,1.3463785171468987,2.0040028341062173,1.9456661754674676,2.398558142239498,11.132693388640178,1.0,1.9262404793699333,2.01909697365747,0.0030492791122067706,0.017048189783239232,0.017048189783239232,0.0005036011289687273,0.0,0.0,0.0,0.06934935987738454,False,False,0.5548529983234264
1e-12,0.8,1000000000.0,gate,1.365267401382773,1.3463785171468987,2.0343777142648323,1.9892360632926231,2.4381011678031244,10.868965653691733,1.0632107792319982,1.9394681693926594,2.33701424331231,0.03941871870254266,0.017435121776500678,0.02243480638694578,0.0005042982556039854,0.005,0.0049996846104451,0.3967680900480912,0.0689929551703987,False,False,0.5548529983234264
1e-12,0.8,1000000000.0,gate,1.345994048735929,1.3463785171468987,2.074610781041409,2.0139760146400265,2.424261622116888,9.742123126664445,1.3743069757221118,1.9538352665019325,3.241956495843289,0.08446652359676052,0.017822815828521094,0.027822306356918233,0.0005035345473965799,0.01,0.009999490528397138,0.5599497795904409,0.0696375688421893,False,False,0.5548529983234264
1e-12,0.8,1000000000.0,gate,1.2674391693535874,1.3463785171468987,2.1944876359358734,2.0492425790439546,2.5653838755772838,11.58615761411685,2.1827840271151766,2.009410881794443,5.0093975284166055,0.09405799769712046,0.019469910363087237,0.03946959351854791,0.024637332672755776,0.02,0.019999683155460676,0.7646623955382118,0.06830265025273582,False,True,0.5548529983234264
1e-12,0.8,3000000000.0,gate,1.336344089188604,1.386779267460252,2.0425278335676484,2.0037858521051493,2.14722832699506,3.459503293834489,1.0,2.0030087157560983,2.063402676305701,0.00033353399019528325,0.009417553909413219,0.009417553909413219,0.000656611757816587,0.0,0.0,0.0,0.033628142929828665,True,False,0.8117921831436476
1e-12,0.8,3000000000.0,gate,1.3167684641939275,1.386779267460252,2.0781022921154415,2.035883699527622,2.1716019699913085,3.217179978217215,1.4072223227986609,2.018835125247471,2.5171754163934583,0.0629332296340255,0.009630804974760505,0.014630638338974452,0.0006597282548646799,0.005,0.0049998333642139485,0.5102648835095561,0.033464621906878066,False,False,0.8117921831436476
1e-12,0.8,3000000000.0,gate,1.2976750537902613,1.386779267460252,2.1431074315865017,2.065412619851005,2.3881069438610854,7.417393960019757,1.3758338467611348,2.034085307382102,4.0184144284303915,0.09864280844355007,0.009844940296985814,0.019844733023626965,0.0006617067728558311,0.01,0.009999792726641149,0.713736925746174,0.03330579190148912,False,False,0.8117921831436476
1e-12,0.8,3000000000.0,gate,1.2159031396921547,1.386779267460252,2.24133100016053,2.1033679128549068,2.5316524535180776,9.413049934298165,1.6681216049240597,2.0937269612206983,4.804611923210277,0.10529075387628581,0.010798781519320866,0.030799160535982657,0.02696872776423156,0.02,0.020000379016661792,0.9637867376557412,0.032623037591823854,False,False,0.8117921831436476
1e-12,0.9,1000000000.0,gate,1.4492227044735364,1.3463785171468987,1.9627950276526906,1.9140694217493113,2.338721539646339,10.657670947303329,1.0,1.8972247433944902,1.9717048796412409,0.013354399839701301,0.015504500495245842,0.015504500495245842,0.0005131839244723338,0.0,0.0,0.0,0.06139726208130491,False,False,0.5548529983234264
1e-12,0.9,1000000000.0,gate,1.428380069068069,1.3463785171468987,1.9929945365237167,1.9582066458380265,2.3762221032907713,10.332137935369195,1.0884914376351105,1.9110590227057729,2.312233016683875,0.032900563797736815,0.015856735843608444,0.020856453782611653,0.0005148581738012436,0.005,0.004999717939003209,0.41866983701936633,0.06108305336838779,False,False,0.5548529983234264
1e-12,0.9,1000000000.0,gate,1.4080674308054206,1.3463785171468987,2.035111366347827,1.9692920977496329,2.3636462530997266,9.545577403115434,1.3975109359913918,1.925438376740381,3.2701987191804407,0.0731216683456188,0.016210353334834105,0.026209905063336116,0.0005136613499352137,0.01,0.009999551728502011,0.5871408890505242,0.06163428820252007,False,False,0.5548529983234264
1e-12,0.9,1000000000.0,gate,1.3239262768419526,1.3463785171468987,2.2245139326612007,2.004268486301512,3.9682055567430528,43.490700181373874,1.4087426554465678,1.978837957146881,4.738814961939858,0.08000863876001216,0.01773837645078935,0.03773822469468972,0.02548613228079655,0.02,0.019999848243900373,0.801118143848743,0.060455649122623946,False,False,0.5548529983234264
1e-12,0.9,3000000000.0,gate,1.4066121119454138,1.386779267460252,1.995487408664636,1.9678987787503603,2.1008641566860176,3.2824154084255937,1.0013279588177655,1.9648908693823615,2.0097317874255216,0.00018976716654035066,0.008477277086651825,0.008477277086651825,0.0006645121430196939,0.0,0.0,0.0,0.029827295388646296,False,False,0.8117921831436476
1e-12,0.9,3000000000.0,gate,1.3859469633219441,1.386779267460252,2.0308243566439477,2.0016973290869546,2.1224416715761913,2.9288584940880247,0.0,1.979792598381584,2.474815180450371,0.048586603650177355,0.008669371252338944,0.013669227805863654,0.0006673799611607664,0.005,0.004999856553524713,0.5378165740034053,0.029682712910346378,True,False,0.8117921831436476
1e-12,0.9,3000000000.0,gate,1.3657637611048112,1.386779267460252,2.0994515398483022,2.0182591901191658,2.371648444465098,8.291850191391813,1.3177865852393045,1.9937504962307424,4.088283414872192,0.08364339017523288,0.008862482207600936,0.01886232742483785,0.0006699672389231052,0.01,0.009999845217236913,0.7522603314255578,0.02954212593327197,False,False,0.8117921831436476
