# 192^3, campo de t = 12 a 60 s, de bt_bp_192_full.txt (166 plotfiles).
# Fecha a lacuna que deixava o painel (c) do Relatorio II com um ponto solto.
t,E_tor,E_pol,B_max_G,M_Msun
53.50069,4.34012e+46,2.07382e+45,1.80398e+12,2.00927e+00
54.00006,4.57053e+46,1.91495e+45,1.93301e+12,2.00833e+00
54.50282,4.57278e+46,2.06679e+45,1.77373e+12,2.00860e+00
55.00368,4.74686e+46,2.28786e+45,1.88411e+12,2.00941e+00
55.50335,4.88375e+46,1.98941e+45,1.88902e+12,2.00832e+00
56.00318,4.85124e+46,2.38406e+45,1.94905e+12,2.00892e+00
56.50277,5.08601e+46,2.61046e+45,2.15368e+12,2.00947e+00
57.00227,5.11760e+46,2.24730e+45,2.09001e+12,2.00840e+00
57.50021,5.12434e+46,2.63246e+45,2.02715e+12,2.00924e+00
58.00064,5.25496e+46,2.50892e+45,2.08542e+12,2.00949e+00
58.50017,5.16585e+46,2.35010e+45,1.98662e+12,2.00858e+00
59.00022,5.22382e+46,2.55201e+45,1.98734e+12,2.00955e+00
59.50040,5.25693e+46,2.38947e+45,2.12699e+12,2.00948e+00
60.00000,5.15714e+46,2.18868e+45,2.10849e+12,2.00879e+00
