# 1D hydrostatic white dwarf, ztwd structure, isothermal T
# rho_c=9.8839384950e+08 R=2.4562141156e+08 M_msun=1.3461439553 t_dyn=0.2879669941 T_iso=1.0000000000e+07
# r density temperature
1.6211217109e+08 2.3557493839e+07 1.0000000000e+07
1.6252678022e+08 2.3204371579e+07 1.0000000000e+07
1.6294138936e+08 2.2855833340e+07 1.0000000000e+07
1.6335599849e+08 2.2511824384e+07 1.0000000000e+07
1.6377060762e+08 2.2172290573e+07 1.0000000000e+07
1.6418521676e+08 2.1837178368e+07 1.0000000000e+07
1.6459982589e+08 2.1506434824e+07 1.0000000000e+07
1.6501443502e+08 2.1180007584e+07 1.0000000000e+07
1.6542904416e+08 2.0857844871e+07 1.0000000000e+07
1.6584365329e+08 2.0539895488e+07 1.0000000000e+07
1.6625826242e+08 2.0226108807e+07 1.0000000000e+07
1.6667287156e+08 1.9916434771e+07 1.0000000000e+07
1.6708748069e+08 1.9610823878e+07 1.0000000000e+07
1.6750208982e+08 1.9309227189e+07 1.0000000000e+07
1.6791669896e+08 1.9011596312e+07 1.0000000000e+07
1.6833130809e+08 1.8717883402e+07 1.0000000000e+07
1.6874591722e+08 1.8428041155e+07 1.0000000000e+07
1.6916052636e+08 1.8142022802e+07 1.0000000000e+07
1.6957513549e+08 1.7859782106e+07 1.0000000000e+07
1.6998974462e+08 1.7581273354e+07 1.0000000000e+07
1.7040435375e+08 1.7306451355e+07 1.0000000000e+07
1.7081896289e+08 1.7035271432e+07 1.0000000000e+07
1.7123357202e+08 1.6767689420e+07 1.0000000000e+07
1.7164818115e+08 1.6503661659e+07 1.0000000000e+07
1.7206279029e+08 1.6243144988e+07 1.0000000000e+07
1.7247739942e+08 1.5986096745e+07 1.0000000000e+07
1.7289200855e+08 1.5732474756e+07 1.0000000000e+07
1.7330661769e+08 1.5482237334e+07 1.0000000000e+07
1.7372122682e+08 1.5235343273e+07 1.0000000000e+07
1.7413583595e+08 1.4991751845e+07 1.0000000000e+07
1.7455044509e+08 1.4751422790e+07 1.0000000000e+07
1.7496505422e+08 1.4514316319e+07 1.0000000000e+07
1.7537966335e+08 1.4280393101e+07 1.0000000000e+07
1.7579427249e+08 1.4049614267e+07 1.0000000000e+07
1.7620888162e+08 1.3821941396e+07 1.0000000000e+07
1.7662349075e+08 1.3597336520e+07 1.0000000000e+07
1.7703809989e+08 1.3375762110e+07 1.0000000000e+07
1.7745270902e+08 1.3157181081e+07 1.0000000000e+07
1.7786731815e+08 1.2941556777e+07 1.0000000000e+07
1.7828192729e+08 1.2728852977e+07 1.0000000000e+07
1.7869653642e+08 1.2519033884e+07 1.0000000000e+07
1.7911114555e+08 1.2312064121e+07 1.0000000000e+07
1.7952575469e+08 1.2107908729e+07 1.0000000000e+07
1.7994036382e+08 1.1906533160e+07 1.0000000000e+07
1.8035497295e+08 1.1707903278e+07 1.0000000000e+07
1.8076958209e+08 1.1511985346e+07 1.0000000000e+07
1.8118419122e+08 1.1318746029e+07 1.0000000000e+07
1.8159880035e+08 1.1128152389e+07 1.0000000000e+07
1.8201340949e+08 1.0940171876e+07 1.0000000000e+07
1.8242801862e+08 1.0754772329e+07 1.0000000000e+07
1.8284262775e+08 1.0571921970e+07 1.0000000000e+07
1.8325723688e+08 1.0391589398e+07 1.0000000000e+07
1.8367184602e+08 1.0213743589e+07 1.0000000000e+07
1.8408645515e+08 1.0038353889e+07 1.0000000000e+07
1.8450106428e+08 9.8653900118e+06 1.0000000000e+07
1.8491567342e+08 9.6948220313e+06 1.0000000000e+07
1.8533028255e+08 9.5266203831e+06 1.0000000000e+07
1.8574489168e+08 9.3607558571e+06 1.0000000000e+07
