  -1.5963832700345467E+13  8.3145112302766418E+21 -1.7211012013899717E+09 -8.3145112119485688E+31 -1.2471819384387039E+04  8.3145112027841459E+17 -8.3145112013531957E+27  1.3562766179764335E+05  3.6270496203152056E+14
  -1.5772384004149270E+13  6.6044510319104282E+21 -1.7019563318415363E+09 -5.2461019149418676E+31 -1.2471819380827817E+04  6.6044510044180800E+17 -5.2461019142875025E+27  1.3635362667893121E+05  6.6605343199805797E+13
  -1.5580935307830221E+13  5.2461019332699551E+21 -1.6828114622992475E+09 -3.3100665331242038E+31 -1.2471819376347084E+04  5.2461019057778688E+17 -3.3100665340716390E+27  1.3900034017341465E+05  5.8973912891401484E+12
  -1.5389486611356439E+13  4.1671268916075163E+21 -1.6636665927646885E+09 -2.0885107897927942E+31 -1.2471819370706053E+04  4.1671268641153670E+17 -2.0885107929802573E+27  1.3919174126108064E+05 -1.7538876621058049E+12
  -1.5198037914687932E+13  3.3100665514522501E+21 -1.6445217232398691E+09 -1.3177612218458973E+31 -1.2471819363604485E+04  3.3100665239601357E+17 -1.3177612206691476E+27  1.3813286494768536E+05 -2.7109712377156762E+13
  -1.5006589217774232E+13  2.6292793244045227E+21 -1.6253768537273059E+09 -8.3145112119486320E+30 -1.2471819354664100E+04  2.6292792969123651E+17 -8.3145112180470453E+26  1.3746569406384454E+05 -3.6952707047325303E+12
  -1.4815140520551914E+13  2.0885108081208648E+21 -1.6062319842301784E+09 -5.2461019149419219E+30 -1.2471819343408881E+04  2.0885107806287536E+17 -5.2461019203602894E+26  1.3725447780966203E+05  4.4402447700086578E+11
  -1.4623691822941006E+13  1.6589631071867951E+21 -1.5870871147524772E+09 -3.3100665331242167E+30 -1.2471819329239357E+04  1.6589630796946499E+17 -3.3100665292095877E+26  1.3784519432918631E+05 -1.3151418588440962E+12
  -1.4432243124840885E+13  1.3177612401739484E+21 -1.5679422452992306E+09 -2.0885107897927780E+30 -1.2471819311400912E+04  1.3177612126817438E+17 -2.0885107905128570E+26  1.3720950099752410E+05  1.7109359417529377E+12
  -1.4240794426124998E+13  1.0467349634650174E+21 -1.5487973758767848E+09 -1.3177612218458827E+30 -1.2471819288943800E+04  1.0467349359728640E+17 -1.3177612220026664E+26  1.3728537735309900E+05 -2.7533748575485317E+12
  -1.4049345726633787E+13  8.3145113952292045E+20 -1.5296525064930999E+09 -8.3145112119485923E+29 -1.2471819260671879E+04  8.3145111203075888E+16 -8.3145112376924305E+25  1.3761015941739440E+05 -6.7581565072016504E+11
  -1.3857897026166543E+13  6.6044511968629961E+20 -1.5105076371582181E+09 -5.2461019149418971E+29 -1.2471819225079658E+04  6.6044509219413536E+16 -5.2461019112353475E+25  1.3749786959738578E+05 -7.9239876764267015E+09
  -1.3666448324470561E+13  5.2461020982225135E+20 -1.4913627678847768E+09 -3.3100665331242122E+29 -1.2471819180271661E+04  5.2461018233009992E+16 -3.3100665300151090E+25  1.3768298574621134E+05 -1.7422788373724237E+11
  -1.3474999621227664E+13  4.1671270565600808E+20 -1.4722178986886811E+09 -2.0885107897928079E+29 -1.2471819123861860E+04  4.1671267816386216E+16 -2.0885107900990250E+25  1.3738973333041111E+05  1.5513426429505619E+10
  -1.3283550916037305E+13  3.3100667164048025E+20 -1.4530730295899577E+09 -1.3177612218458978E+29 -1.2471819052846056E+04  3.3100664414833152E+16 -1.3177612217283176E+25  1.3775454677984363E+05 -5.3343981854275787E+10
  -1.3092102208395295E+13  2.6292794893570861E+20 -1.4339281606138241E+09 -8.3145112119487081E+28 -1.2471818963442425E+04  2.6292792144357104E+16 -8.3145112237504081E+24  1.3732975481888661E+05 -5.8215020576131449E+09
  -1.2900653497666814E+13  2.0885109730734424E+20 -1.4147832917920203E+09 -5.2461019149420593E+28 -1.2471818850890009E+04  2.0885106981521684E+16 -5.2461019172261371E+24  1.3744917127878731E+05 -2.8061616927508817E+09
  -1.2709204783052697E+13  1.6589632721393772E+20 -1.3956384231645052E+09 -3.3100665331243460E+28 -1.2471818709194880E+04  1.6589629972182440E+16 -3.3100665331875668E+24  1.3753085175067731E+05 -1.6978722377210493E+10
  -1.2517756063546848E+13  1.3177614051265497E+20 -1.3764935547815850E+09 -2.0885107897929409E+28 -1.2471818530811361E+04  1.3177611302055464E+16 -2.0885107913922368E+24  1.3737695337077789E+05  2.9839553659035072E+09
  -1.2326307337882756E+13  1.0467351284176327E+20 -1.3573486867066002E+09 -1.3177612218460507E+28 -1.2471818306239868E+04  1.0467348534968430E+16 -1.3177612206064942E+24  1.3745921575264478E+05  1.1354605091790560E+08
  -1.2134858604465852E+13  8.3145130447554904E+19 -1.3382038190192790E+09 -8.3145112119502206E+27 -1.2471818023521213E+04  8.3145102955499100E+15 -8.3145112221036513E+23  1.3747212543894636E+05 -5.8554157021604853E+09
  -1.1943409861288813E+13  6.6044528463895020E+19 -1.3190589518200057E+09 -5.2461019149435635E+27 -1.2471817667599715E+04  6.6044500971868490E+15 -5.2461019156116009E+23  1.3745537726449285E+05 -1.3788265896460631E+09
  -1.1751961105824531E+13  5.2461037477492163E+19 -1.2999140852351527E+09 -3.3100665331258154E+27 -1.2471817219521288E+04  5.2461009985501860E+15 -3.3100665326525907E+23  1.3746472136433126E+05 -1.1429057350777168E+09
  -1.1560512334891682E+13  4.1671287060871193E+19 -1.2807692194238262E+09 -2.0885107897944416E+27 -1.2471816655424389E+04  4.1671259568926970E+15 -2.0885107869681013E+23  1.3740830965507563E+05 -2.3068989109709425E+09
  -1.1369063544485166E+13  3.3100683659322499E+19 -1.2616243545863237E+09 -1.3177612218475483E+27 -1.2471815945269151E+04  3.3100656167434225E+15 -1.3177612200152870E+23  1.3863337829232201E+05 -7.7987697387277969E+10
  -1.1177614729563027E+13  2.6292811388850262E+19 -1.2424794909748247E+09 -8.3145112119651915E+26 -1.2471815051237687E+04  2.6292783897031845E+15 -8.3145112020394244E+22  1.3694801282085702E+05 -2.3299509540573578E+11
  -1.0986165883762246E+13  2.0885126225987727E+19 -1.2233346289050541E+09 -5.2461019149423015E+26 -1.2471813925701103E+04  2.0885098733813620E+15 -5.2461018905250592E+22  1.3641798853636198E+05  1.9967534387097958E+11
  -1.0794716999114855E+13  1.6589649216646566E+19 -1.2041897687792642E+09 -3.3100665331245968E+26 -1.2471812508750019E+04  1.6589621724473868E+15 -3.3100665374781227E+22  1.3758107442361955E+05 -6.5077191926113083E+10
  -1.0603268065549771E+13  1.3177630546517694E+19 -1.1850449110993783E+09 -2.0885107897932149E+26 -1.2471810724914691E+04  1.3177603054346550E+15 -2.0885107893939110E+22  1.3746955508600353E+05  7.2926945888745680E+07
  -1.0411819070401010E+13  1.0467367779427656E+19 -1.1659000564987049E+09 -1.3177612218463098E+26 -1.2471808479199697E+04  1.0467340287258724E+15 -1.3177612212082611E+22  1.3746332203461803E+05 -4.7173693144637600E+07
  -1.0220369997722961E+13  8.3145295400058061E+18 -1.1467552057745266E+09 -8.3145112119528615E+25 -1.2471805652012950E+04  8.3145020478394150E+14 -8.3145112063744703E+21  1.3745916452337298E+05  7.4761204346708078E+06
