  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.677397283470076024E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.816832955406034614E+51  0.000000000000000000E+00  1.816832955406034614E+51
  9.999999999999999547E-07  2.677397283470077753E+33 -5.718292890049424700E+29 -5.717701683892245957E+29 -5.723479361256274436E+29  1.843719918286162596E+51  2.688252222165260834E+49  1.816837396064508513E+51
  3.000000000000000076E-06  2.677397283470083518E+33 -1.715779526779053005E+30 -1.715634281156053568E+30 -1.715447243262986893E+30  2.059286364615729557E+51  2.422703356536381263E+50  1.817016028962087734E+51
  6.999999999999999895E-06  2.677397283470097353E+33 -4.003659213049617189E+30 -4.004084122030332369E+30 -4.003972180583358721E+30  3.148861287911151816E+51  1.327836345874850409E+51  1.821024942036279142E+51
  1.499999999999999869E-05  2.677397283470096200E+33 -8.580868199472626072E+30 -8.581823403018866749E+30 -8.581339475266907725E+30  8.161681667910544558E+51  6.268015114271113976E+51  1.893666553649131288E+51
  3.099999999999999457E-05  2.677397283470090436E+33 -1.773501876720974670E+31 -1.773620971025779456E+31 -1.775766397798599448E+31  3.223289997706865967E+52  2.930670062859482049E+52  2.926199348522874402E+51
  6.299999999999998635E-05  2.677397283470097353E+33 -3.605437515387622835E+31 -3.606056719636643076E+31 -3.610108743806571343E+31  1.750824149836513611E+53  1.548066675072713758E+53  2.027574747635618677E+52
  1.139063430354466365E-04  2.677397283470119835E+33 -6.515288763074714092E+31 -6.514588795025157222E+31 -6.514967515122220567E+31  9.139390300562827482E+53  6.312489832969661204E+53  2.826900467594632896E+53
  1.312193284809747798E-04  2.677397283470113494E+33 -7.501781117485025666E+31 -7.501080544972558988E+31 -7.501088406768279670E+31  1.269363825661419626E+54  5.471275780225841386E+53  7.222362476390561603E+53
  1.446765619443305274E-04  2.677397283470108306E+33 -8.257268239059624073E+31 -8.257305836652614088E+31 -8.257810064500402604E+31  1.484594032964786494E+54  4.041963784506892502E+53  1.080397654514330167E+54
  1.559889100279643868E-04  2.677397283470126176E+33 -8.889596647223891940E+31 -8.889551100943637958E+31 -8.889881772378448050E+31  1.607317278958184257E+54  2.712060044801095305E+53  1.336111274478313732E+54
  1.660691859487888088E-04  2.677397283470106576E+33 -9.453851674078838770E+31 -9.453795791482827084E+31 -9.454163871615967875E+31  1.677849182424171394E+54  1.779497945046825677E+53  1.499899387919401459E+54
  1.753892289384930249E-04  2.677397283470108882E+33 -9.976601149450857128E+31 -9.976546883793129176E+31 -9.976918175135478319E+31  1.719429464699764002E+54  1.095478929865217864E+53  1.609881571713151402E+54
  1.844822338441898344E-04  2.677397283470109459E+33 -1.048818460060780977E+32 -1.048812391253166511E+32 -1.048849799951497212E+32  1.745457844850766164E+54  6.722472761072893184E+52  1.678233117240117294E+54
  1.936445811935880255E-04  2.677397283470122141E+33 -1.100457570796420587E+32 -1.100451483854918827E+32 -1.100488833618115821E+32  1.762677656572226810E+54  3.906105388688412419E+52  1.723616602685426433E+54
  2.035240563425545757E-04  2.677397283470120988E+33 -1.156218056233382096E+32 -1.156209630020419382E+32 -1.156243930268236398E+32  1.775348252252267916E+54  2.293232092287545999E+52  1.752415931329397433E+54
  2.146602478883157309E-04  2.677397283470131364E+33 -1.218883638832100208E+32 -1.218875865439080086E+32 -1.218909609581020079E+32  1.785760725057544397E+54  1.383600126488472244E+52  1.771924723792675341E+54
  2.279301299106348700E-04  2.677397283470112918E+33 -1.293377043373843850E+32 -1.293368623205510235E+32 -1.293401490876231007E+32  1.795844942067131108E+54  9.680586846866286770E+51  1.786164355220264703E+54
  2.439718875866542117E-04  2.677397283470125600E+33 -1.382970832052309824E+32 -1.382961970626052049E+32 -1.382994919899265646E+32  1.807524751717822018E+54  8.634760974275959816E+51  1.798889990743531547E+54
  2.626888315638248143E-04  2.677397283470140011E+33 -1.486799123838457347E+32 -1.486789827198904511E+32 -1.486820273995671505E+32  1.822903384375040951E+54  9.925450192076701907E+51  1.812977934182977649E+54
  2.823258326269893737E-04  2.677397283470138858E+33 -1.595310854696082924E+32 -1.595301400896173538E+32 -1.595328680307293142E+32  1.842061118829948739E+54  1.251975948639616923E+52  1.829541359343538652E+54
  3.009261283291772256E-04  2.677397283470143470E+33 -1.698448994910328848E+32 -1.698439794984841580E+32 -1.698465702265155922E+32  1.862164998039269678E+54  1.500552896456500438E+52  1.847159469074701587E+54
  3.177002054127067254E-04  2.677397283470139435E+33 -1.792126262999143626E+32 -1.792116712485168670E+32 -1.792144408975696041E+32  1.880262182711488061E+54  1.568335775290775980E+52  1.864578824958576895E+54
  3.333839891118074088E-04  2.677397283470140588E+33 -1.880104533881713080E+32 -1.880093726084885725E+32 -1.880121392352267606E+32  1.896086396579492740E+54  1.395102083982550339E+52  1.882135375739604697E+54
  3.496559634466263919E-04  2.677397283470148082E+33 -1.971270137687696504E+32 -1.971259861818229780E+32 -1.971287183541753070E+32  1.911630319669913061E+54  1.240699718328923961E+52  1.899223322486563025E+54
  3.672217090712732003E-04  2.677397283470148658E+33 -2.069294267810550427E+32 -2.069281066340600235E+32 -2.069305788873611355E+32  1.928592090881135086E+54  1.243677773943668032E+52  1.916155313141681900E+54
  3.853636178867811315E-04  2.677397283470153846E+33 -2.170335030531088734E+32 -2.170321804882622150E+32 -2.170345753703108716E+32  1.947010389972057355E+54  1.349052248028890144E+52  1.933519867491759843E+54
  4.030084096561060763E-04  2.677397283470164223E+33 -2.268725755319482598E+32 -2.268712191171786521E+32 -2.268736430134469795E+32  1.965449757606875113E+54  1.447429027928892750E+52  1.950975467327596466E+54
  4.197231067075583096E-04  2.677397283470159034E+33 -2.362235224504534865E+32 -2.362221829606453535E+32 -2.362243844145628717E+32  1.982594331230201700E+54  1.439120635118705338E+52  1.968203124878963099E+54
  4.360004038722935997E-04  2.677397283470166528E+33 -2.453480327272416147E+32 -2.453467246695047917E+32 -2.453492295638030332E+32  1.998539017230595734E+54  1.336350283870755562E+52  1.985175514391830955E+54
  4.526585153668857115E-04  2.677397283470170564E+33 -2.546864962777335008E+32 -2.546847530067016165E+32 -2.546866486023867722E+32  2.014334536663772032E+54  1.259677552218995202E+52  2.001737761141549038E+54
  4.699149352473844070E-04  2.677397283470163646E+33 -2.643515777347623104E+32 -2.643498054495107554E+32 -2.643511884606483945E+32  2.030708674329939250E+54  1.261975812305123950E+52  2.018088916206843099E+54
  4.873204744759030826E-04  2.677397283470176905E+33 -2.741015185307731494E+32 -2.740998719738068342E+32 -2.741015632610284751E+32  2.047470475598670980E+54  1.306914730267507533E+52  2.034401328295953444E+54
  5.043673248679148274E-04  2.677397283470179787E+33 -2.836648374480100780E+32 -2.836631086840880291E+32 -2.836645884092912374E+32  2.063889925103815851E+54  1.331314733745114843E+52  2.050576777766318938E+54
  5.209850687630617188E-04  2.677397283470187857E+33 -2.930039465648896383E+32 -2.930024184826536454E+32 -2.930038232544560376E+32  2.079551371723091723E+54  1.301189269562096262E+52  2.066539479027450197E+54
  5.375296294126135233E-04  2.677397283470179211E+33 -3.023113020361912007E+32 -3.023097739539552078E+32 -3.023115003000256175E+32  2.094711845289012420E+54  1.247402421879868571E+52  2.082237821070176178E+54
  5.543319367117093130E-04  2.677397283470190163E+33 -3.117668476344611244E+32 -3.117651889882366131E+32 -3.117668972004197286E+32  2.109871011038317134E+54  1.219495780589925935E+52  2.097676053232369501E+54
  5.713581114722479908E-04  2.677397283470189010E+33 -3.213516854312871934E+32 -3.213502830773364404E+32 -3.213517748917978449E+32  2.125219208541685626E+54  1.226122661714278414E+52  2.112957981924507801E+54
  5.883381535012212728E-04  2.677397283470191316E+33 -3.309185489190272321E+32 -3.309169579726486193E+32 -3.309181838234297085E+32  2.140534481921374131E+54  1.241318093570393342E+52  2.128121300985616170E+54
  6.050942513439266056E-04  2.677397283470192469E+33 -3.403714397161972821E+32 -3.403699793338071876E+32 -3.403713695984997444E+32  2.155509573844522693E+54  1.237623251630481081E+52  2.143133341328192199E+54
  6.216968853384955817E-04  2.677397283470204575E+33 -3.497479360729742444E+32 -3.497462919338595685E+32 -3.497476821985521253E+32  2.170091425569093148E+54  1.213085724976306309E+52  2.157960568319314493E+54
  6.383368854561232266E-04  2.677397283470204575E+33 -3.591518605387466234E+32 -3.591499697787647461E+32 -3.591511738688810823E+32  2.184473636595429844E+54  1.188618216099186957E+52  2.172587454434419762E+54
  6.551007175433853176E-04  2.677397283470217257E+33 -3.686321891163186469E+32 -3.686301726280515297E+32 -3.686308810585818239E+32  2.198840928688803457E+54  1.179633289296498374E+52  2.187044595795817266E+54
  6.719102544382844159E-04  2.677397283470196504E+33 -3.781456325899415544E+32 -3.781436161016744372E+32 -3.781443100250948960E+32  2.213195411505321706E+54  1.182188495902245760E+52  2.201373526546274977E+54
  6.886455850407805683E-04  2.677397283470220716E+33 -3.876268267584004221E+32 -3.876247377345841280E+32 -3.876254800150373714E+32  2.227409210364510924E+54  1.182774043980297516E+52  2.215581469924695967E+54
  7.052749228833995673E-04  2.677397283470199963E+33 -3.970588950172534297E+32 -3.970570671214141723E+32 -3.970576957628403719E+32  2.241390824959414840E+54  1.173763299084770996E+52  2.229653191968530715E+54
  7.218626895642933422E-04  2.677397283470220139E+33 -4.064783952832857235E+32 -4.064763497807989356E+32 -4.064771114040652928E+32  2.255169162053862845E+54  1.159448372998967753E+52  2.243574678323836239E+54
  7.384801037055075236E-04  2.677397283470210916E+33 -4.159239841685053011E+32 -4.159216872094480333E+32 -4.159225890681094658E+32  2.268834306916184745E+54  1.148473732117095716E+52  2.257349569594953857E+54
  7.551339467426872393E-04  2.677397283470216104E+33 -4.253999412703135982E+32 -4.253976443112563304E+32 -4.253982898776440046E+32  2.282437376673263174E+54  1.143941831754207270E+52  2.270997958355666404E+54
  7.717793781186244083E-04  2.677397283470210916E+33 -4.348806808826642907E+32 -4.348784564591561998E+32 -4.348792011574610824E+32  2.295958314221396776E+54  1.142244656541814796E+52  2.284535867655937176E+54
  7.883784001803306653E-04  2.677397283470227633E+33 -4.443295290318935494E+32 -4.443272465799461169E+32 -4.443281556921624671E+32  2.309348359223247388E+54  1.138930738500254366E+52  2.297959051838221237E+54
  8.049251889961052875E-04  2.677397283470213798E+33 -4.537413018440868665E+32 -4.537391402847213956E+32 -4.537399696078336512E+32  2.322570884149761312E+54  1.132739669135979611E+52  2.311243487458337977E+54
  8.214262010055176696E-04  2.677397283470214951E+33 -4.631365897438039186E+32 -4.631347086552285983E+32 -4.631356588709228154E+32  2.335606766742822143E+54  1.122807994078335489E+52  2.324378686802011122E+54
  8.379139262200770068E-04  2.677397283470214375E+33 -4.725386766423304834E+32 -4.725366553183600877E+32 -4.725374314487362803E+32  2.348480052127869598E+54  1.111959090041697611E+52  2.337360461227417462E+54
  8.544110312524750162E-04  2.677397283470217833E+33 -4.819624226558412639E+32 -4.819604400174970959E+32 -4.819611919693568962E+32  2.361226649210317704E+54  1.103085999462090332E+52  2.350195789215640689E+54
  8.709148038900882622E-04  2.677397283470201116E+33 -4.914067010654723792E+32 -4.914044331206347822E+32 -4.914052576080437593E+32  2.373864509633648233E+54  1.096728341676688980E+52  2.362897226216828289E+54
  8.874083672106681349E-04  2.677397283470208034E+33 -5.008613520586357880E+32 -5.008593839274014554E+32 -5.008602567718432172E+32  2.386389386977591358E+54  1.091476937731689458E+52  2.375474617600220109E+54
  9.038797350483127003E-04  2.677397283470207457E+33 -5.103211288972743629E+32 -5.103190785590842965E+32 -5.103198063324277045E+32  2.398790243682840967E+54  1.085839212080095025E+52  2.387931851562025006E+54
  9.203300958489492398E-04  2.677397283470203998E+33 -5.197861476382667868E+32 -5.197838265006931267E+32 -5.197848371626783246E+32  2.411064557209115070E+54  1.079474178572326554E+52  2.400269815423353515E+54
  9.367684620699256570E-04  2.677397283470209763E+33 -5.292616888695931365E+32 -5.292595514887440578E+32 -5.292603880654112311E+32  2.423221222362086776E+54  1.073041532515150920E+52  2.412490807036905406E+54
  9.532020837747231601E-04  2.677397283470209186E+33 -5.387530573577498808E+32 -5.387508571127581822E+32 -5.387516864358704378E+32  2.435244204768021141E+54  1.058907666269169422E+52  2.424655128105304442E+54
  9.696752552746607055E-04  2.677397283470202269E+33 -5.482364227569807763E+32 -5.482341354693300655E+32 -5.482351292063537887E+32  2.447161441337587132E+54  1.046005932079170336E+52  2.436701382016744609E+54
  9.862116004740518506E-04  2.677397283470210339E+33 -5.577012093842158342E+32 -5.576989075894552880E+32 -5.576997901053036067E+32  2.459024185617094570E+54  1.035009667699368178E+52  2.448674088940056144E+54
  1.002810345690184190E-03  2.677397283470207457E+33 -5.672016883373491944E+32 -5.671991495931280037E+32 -5.672000441982345185E+32  2.470862234000569081E+54  1.027281398039546321E+52  2.460589420020166033E+54
  1.019456756776595131E-03  2.677397283470202845E+33 -5.767604085007683090E+32 -5.767578697565471183E+32 -5.767586652297364247E+32  2.482697422251814076E+54  1.023659020412451770E+52  2.472460832047645949E+54
  1.036127157858978461E-03  2.677397283470209763E+33 -5.863628192433082963E+32 -5.863602466491641564E+32 -5.863612403861878796E+32  2.494542971575435710E+54  1.024208998850986835E+52  2.484300881586899009E+54
  1.052794133176322526E-03  2.677397283470211492E+33 -5.959810572426786783E+32 -5.959790552615213965E+32 -5.959800804306164297E+32  2.506401898455760871E+54  1.028288142439992858E+52  2.496119017031314284E+54
  1.069431773599355392E-03  2.677397283470203998E+33 -6.055953831580967874E+32 -6.055934295339722901E+32 -6.055948850806591062E+32  2.518267939261992482E+54  1.034905974757514834E+52  2.507918879514363327E+54
  1.086019520242668523E-03  2.677397283470208610E+33 -6.151894087911519276E+32 -6.151874164814012027E+32 -6.151884948432322989E+32  2.530127899948450653E+54  1.042841327206470019E+52  2.519699486676327954E+54
  1.102544274601969208E-03  2.677397283470204575E+33 -6.247554066880051222E+32 -6.247534143782543973E+32 -6.247545120828986074E+32  2.541964081016853114E+54  1.050839174466103834E+52  2.531455689272187833E+54
  1.119000984753829898E-03  2.677397283470205151E+33 -6.342886668736631527E+32 -6.342865294928140741E+32 -6.342875594976123857E+32  2.553756812591765222E+54  1.057746915131068808E+52  2.543179343440412279E+54
  1.135392050178144884E-03  2.677397283470198234E+33 -6.437874678377588878E+32 -6.437850983431524432E+32 -6.437862153906097671E+32  2.565486824383854361E+54  1.062667053430399411E+52  2.554860153849500349E+54
  1.151725879778412375E-03  2.677397283470201116E+33 -6.532604364749410975E+32 -6.532579799376756406E+32 -6.532589180641116616E+32  2.577137581029438007E+54  1.065108161312481815E+52  2.566486499416262283E+54
  1.168014781537061184E-03  2.677397283470200540E+33 -6.627128630445964155E+32 -6.627104451929571862E+32 -6.627111366985260058E+32  2.588697154528906981E+54  1.065039293184397212E+52  2.578046761597029499E+54
  1.184272456711348747E-03  2.677397283470210916E+33 -6.721581327733996148E+32 -6.721559180212980808E+32 -6.721570544115685185E+32  2.600159199254637652E+54  1.062870881158973687E+52  2.589530490443019336E+54
  1.200511438268163540E-03  2.677397283470215528E+33 -6.816130835801662881E+32 -6.816109075136909817E+32 -6.816120245611483057E+32  2.611522964513404671E+54  1.059367665908550689E+52  2.600929287854275724E+54
  1.216740823130752370E-03  2.677397283470209763E+33 -6.910882089410106903E+32 -6.910863423595452053E+32 -6.910874932569254784E+32  2.622792916700823401E+54  1.055340985727334533E+52  2.612239506843527819E+54
  1.232965661052406970E-03  2.677397283470206881E+33 -7.006081322570267322E+32 -7.006059658619579828E+32 -7.006074891084906972E+32  2.633977919169333703E+54  1.051659049393019728E+52  2.623461328675360219E+54
  1.249185150535665843E-03  2.677397283470205728E+33 -7.102192956225007294E+32 -7.102170518561795246E+32 -7.102181253823073424E+32  2.645089162308260371E+54  1.049722744651490009E+52  2.634591934861699304E+54
  1.265390018884213555E-03  2.677397283470202845E+33 -7.200613251338948931E+32 -7.200590620247605745E+32 -7.200608899205998318E+32  2.656131086267418460E+54  1.048913414322157745E+52  2.645641952124194618E+54
  1.281570190188576581E-03  2.677397283470199963E+33 -7.301413969748744557E+32 -7.301390951801139095E+32 -7.301403718057794225E+32  2.667095498874618571E+54  1.047774354439840528E+52  2.656617755330194829E+54
  1.297719069985993259E-03  2.677397283470207457E+33 -7.399099624820622776E+32 -7.399079605009049958E+32 -7.399092032766475596E+32  2.675572732035366028E+54  5.745561531601749985E+51  2.669827170503746334E+54
  1.315950974665052202E-03  2.677397283470199387E+33 -7.507086778586601174E+32 -7.507065791634372664E+32 -7.507079815173880193E+32  2.683768003924794956E+54  6.920015180498413944E+51  2.676847988744243082E+54
  1.335563747404898069E-03  2.677397283470203422E+33 -7.627468903709990010E+32 -7.627441340201302797E+32 -7.627457733235416771E+32  2.695713813604538215E+54  9.288843496486721495E+51  2.686424970108001885E+54
  1.353462227256099076E-03  2.677397283470209763E+33 -7.741685410439278669E+32 -7.741660554924427392E+32 -7.741677044672606935E+32  2.708857441025433738E+54  1.129397809660250315E+52  2.697563462928769383E+54
  1.369660451694378923E-03  2.677397283470220139E+33 -7.844498361697306453E+32 -7.844474763465307575E+32 -7.844488545219651182E+32  2.718888324623181128E+54  7.257620649726226738E+51  2.711630703973397699E+54
  1.385927073839702704E-03  2.677397283470200540E+33 -7.946295525124661241E+32 -7.946267671473777320E+32 -7.946279518946809544E+32  2.726991320432088085E+54  7.758715133779030525E+51  2.719232605298273869E+54
  1.403303222446751182E-03  2.677397283470198810E+33 -8.057244837290892188E+32 -8.057217757352532820E+32 -8.057233038174892749E+32  2.737006211283067063E+54  8.992927301132129885E+51  2.728013283981885881E+54
  1.420320559433936548E-03  2.677397283470206881E+33 -8.167359893927523471E+32 -8.167329912567197028E+32 -8.167348094811524032E+32  2.748018906992392419E+54  1.019370355018114924E+52  2.737825203442157026E+54
  1.436500392051428708E-03  2.677397283470213798E+33 -8.272841669824932510E+32 -8.272812075320868344E+32 -8.272818651877327048E+32  2.758971030105648902E+54  1.086559885357161573E+52  2.748105431252006301E+54
  1.451980398189935736E-03  2.677397283470211492E+33 -8.373898970650683146E+32 -8.373879434409438173E+32 -8.373891958880929381E+32  2.769292717237368595E+54  1.079813389325694097E+52  2.758494583344068956E+54
  1.467216333775674120E-03  2.677397283470205728E+33 -8.472948003904889959E+32 -8.472930305230890801E+32 -8.472938332498333042E+32  2.779029827111750974E+54  1.039024678835233384E+52  2.768639580323356092E+54
